ant00	Cyrano
gor04	Louie
gor05	Boyd
gor07	Violet
gor08	Al
gor09	Rocket
gor10	Hans
gor11	Rilla
ham00	Hamlet
ham01	Apple
ham02	Graham
ham03	Rodney
ham04	Soleil
ham05	Clay
ham06	Flurry
ham07	Hamphrey
ham09	Marlo
hip00	Rocco
hip02	Bubbles
hip03	Bertha
hip04	Biff
hip05	Bitty
hip08	Harry
hip09	Hippeux
hrs00	Buck
hrs01	Victoria
hrs02	Savannah
hrs03	Elmer
hrs04	Roscoe
hrs05	Winnie
hrs06	Ed
hrs07	Cleo
hrs08	Peaches
hrs09	Annalise
hrs10	Clyde
hrs11	Colton
hrs12	Papi
hrs13	Julian
hrs16	Reneigh
kal00	Yuka
kal01	Alice
kal02	Melba
kal03	Sydney
kal04	Gonzo
kal05	Ozzie
kal07	Faith
kal08	Canberra
kal09	Lyman
kal10	Eugene
kgr00	Kitt
kgr01	Mathilda
kgr02	Carrie
kgr05	Astrid
kgr06	Sylvia
kgr08	Walt
kgr09	Rooney
kgr10	Marcie
lon00	Bud
lon01	Elvis
lon02	Rex
lon04	Leopold
lon06	Mott
lon07	Rory
lon08	Lionel
mnk01	Nana
mnk02	Simon
mnk03	Tammi
mnk04	Monty
mnk05	Elise
mnk06	Flip
mnk07	Shari
mnk08	Deli
mnk09	Tiansheng
mus00	Dora
mus01	Limberg
mus02	Bella
mus03	Bree
mus04	Samson
mus05	Rod
mus08	Candi
mus09	Rizzo
mus10	Anicotti
mus12	Broccolo
mus14	Moose
mus15	Bettina
mus16	Greta
mus17	Penelope
mus18	Chadder
mus19	Petri
ocp00	Octavian
ocp01	Marina
ocp02	Zucker
ocp04	Cephalobot
ost00	Queenie
ost01	Gladys
ost02	Sandy
ost03	Sprocket
ost04	Rio
ost05	Julia
ost06	Cranston
ost07	Phil
ost08	Blanche
ost09	Flora
ost10	Phoebe
pbr00	Apollo
pbr01	Amelia
pbr02	Pierce
pbr03	Buzz
pbr05	Avery
pbr06	Frank
pbr07	Sterling
pbr08	Keaton
pbr09	Celia
pbr10	Quinn
pgn00	Aurora
pgn01	Roald
pgn02	Cube
pgn03	Hopper
pgn04	Friga
pgn05	Gwen
pgn06	Puck
pgn07	Chabwick
pgn09	Wade
pgn10	Boomer
pgn11	Iggly
pgn12	Tex
pgn13	Flo
pgn14	Sprinkle
pig00	Curly
pig01	Truffles
pig02	Rasher
pig03	Hugh
pig04	Lucy
pig05	Spork
pig08	Cobb
pig09	Boris
pig10	Maggie
pig11	Peggy
pig13	Gala
pig14	Chops
pig15	Kevin
pig16	Pancetti
pig17	Agnes
rbt00	Bunnie
rbt01	Dotty
rbt02	Coco
rbt03	Snake
rbt04	Gaston
rbt05	Gabi
rbt06	Pippy
rbt07	Tiffany
rbt08	Genji
rbt09	Ruby
rbt10	Doc
rbt11	Claude
rbt12	Francine
rbt13	Chrissy
rbt14	Hopkins
rbt15	O'Hare
rbt16	Carmen
rbt17	Bonbon
rbt18	Cole
rbt19	Mira
rbt20	Toby
rbt21	Sasha
rhn00	Tank
rhn01	Rhonda
rhn02	Spike
rhn04	Hornsby
rhn05	Azalea
rhn07	Merengue
rhn08	Renée
shp00	Vesta
shp01	Baabara
shp02	Eunice
shp03	Stella
shp04	Cashmere
shp07	Willow
shp08	Curlos
shp09	Wendy
shp10	Timbra
shp11	Frita
shp12	Muffy
shp13	Pietro
shp14	Étoile
shp15	Dom
squ00	Peanut
squ01	Blaire
squ02	Filbert
squ03	Pecan
squ04	Nibbles
squ05	Agent S
squ06	Caroline
squ07	Sally
squ08	Static
squ09	Mint
squ10	Ricky
squ11	Cally
squ13	Tasha
squ14	Sylvana
squ15	Poppy
squ16	Sheldon
squ17	Marshal
squ18	Hazel
squ21	Ione
tig00	Rolf
tig01	Rowan
tig02	Tybalt
tig03	Bangle
tig04	Leonardo
tig05	Claudia
tig06	Bianca
wol00	Chief
wol01	Lobo
wol02	Wolfgang
wol03	Whitney
wol04	Dobie
wol05	Freya
wol06	Fang
wol08	Vivian
wol09	Skye
wol10	Kyle
wol12	Audie
alp	Cyrus
alw	Reese
bev	Chip
bey	C.J.
boa	Joan
boc	Daisy Mae
bpt	Katrina
chm	Nat
chy	Flick
cml	Saharah
cmlB	Saharah
dga	Copper
dgb	Booker
doc	Wilbur
dod	Orville
fox	Redd
fsl	Phineas
grf	Gracie
gstA	Wisp
gstB	Wisp
gul	Gulliver
gulB	Gullivarrr
hgc	Label
hgh	Mabel
hgs	Sable
kpg	Grams
kpm	Leilani
kpp	Kapp'n
kps	Leila
lom	Katie
man	Wardell
mka	Blanca
mnc	Niko
mnk	Porter
mob	Don
mol	Resetti
otg	Lottie
otgB	Lottie
ott	Lyle
owl	Blathers
ows	Celeste
pck	Pavé
pge	Brewster
pgeB	Brewster
pkn	Jack
plk	Pelly
plm	Phyllis
plo	Pete
poo	Harriet
pooB	Harriet
pyn	Zipper
rcm	Timmy
rco	Tom Nook
rct	Tommy
rei	Jingle
seo	Pascal
skk	Kicks
slo	Leif
spn	Harvey
sza	Isabelle
szo	Digby
tap	Luna
tkkA	K.K.
tkkB	DJ KK
ttlA	Tortimer
ttlB	Cornimer
tuk	Franklin
upa	Shrunk
wrl	Wendell
xct	Rover
