ant00	Cirano
mus12	Brócoli
mus14	Sato
mus15	Ottina
mus16	Jimena
mus17	Adela
mus18	Roque
mus19	Petri
ocp00	Octavio
ocp01	Marina
ocp02	Paulino
ocp04	Octoberto
ost00	Marujita
ost01	Gladis
ost02	Priscila
ost03	Ráfaga
ost04	Río
ost05	Julia
ost06	Carmelo
ost07	Amalio
ost08	Rocío
ost09	Azucena
ost10	Avelina
pbr00	Apolo
pbr01	Amelia
pbr02	Hugo
pbr03	Nabar
pbr05	Cuzco
pbr06	Aquilino
pbr07	Arni
pbr08	Lucho
pbr09	Jazmín
pbr10	Alexis
pgn00	Aurora
pgn01	Bobi
pgn02	Cube
pgn03	Güiñón
pgn04	Frida
pgn05	Fabiola
pgn06	Fredo
pgn07	Gabino
pgn09	Petín
pgn10	Serafino
pgn11	Bobo
pgn12	Tomeo
pgn13	Nieves
pgn14	Rizolda
pig00	Rufueto
pig01	Trufas
pig02	Curtis
pig03	Jacobo
pig04	Aurelia
pig05	Espork
pig08	Franfuá
pig09	Boris
pig10	Margarí
pig11	Peggy
pig13	Marita
pig14	Solomín
pig15	Porcinio
pig16	Talía
pig17	Negrea
rbt00	Coni
rbt01	Katia
rbt02	Cocoloca
rbt03	Rayo
rbt04	Gastón
rbt05	Piluca
rbt06	Méloni
rbt07	Tiffany
rbt08	Sumo
rbt09	Rubí
rbt10	Crispín
rbt11	Pablo
rbt12	Natacha
rbt13	Lali
rbt14	Saltiago
rbt15	Ernesto
rbt16	Linda
rbt17	Chocolat
rbt18	Nicolás
rbt19	Amparo
rbt20	Toby
rbt21	Ariel
rhn00	Aníbal
rhn01	Ronda
rhn02	Cornio
rhn04	Rino
rhn05	Azalea
rhn07	Natura
rhn08	Rina
shp00	Vesta
shp01	Beelén
shp02	Lanolina
shp03	Merina
shp04	Cachemir
shp07	Cuqui
shp08	Carnerio
shp09	Franela
shp10	Hebra
shp11	Ovinia
shp12	Muaré
shp13	Kikolor
shp14	Etoile
shp15	Fibrilio
squ00	Belinda
squ01	Azabache
squ02	Filberto
squ03	Camila
squ04	Dentina
squ05	Fardilia
squ06	Mariló
squ07	Praliné
squ08	Protón
squ09	Menta
squ10	Altramuz
squ11	Almendra
squ13	Tania
squ14	Silvana
squ15	Encina
squ16	Matracas
squ17	Munchi
squ18	Anacarda
squ21	Auri
tig00	Albino
tig01	Miguelón
tig02	Teobaldo
tig03	Felina
tig04	Leocadio
tig05	Lilu
tig06	Bianca
wol00	Zoilo
wol01	Lupo
wol02	Wolfi
wol03	Lupe
wol04	Germán
wol05	Lupita
wol06	Colmillo
wol08	Viviana
wol09	Alderia
wol10	Ataúlfo
wol12	Mónica
alp	Al
alw	Paca
bev	Martín
bey	CJ
boa	Juana
boc	Juliana
bpt	Katrina
chm	Papilo
chy	Kamilo
cml	Alcatifa
cmlB	Alcatifa
dga	Vigilio
dgb	Nocencio
doc	Rodri
dod	Rafa
fox	Ladino
fsl	Elio
grf	Graciela
gstA	Buh
gstB	Buh
gul	Gulliver
gulB	Gullivarrr
hgc	Tili
hgh	Pili
hgs	Mili
kpg	Rosauria
kpm	Marimar
kpp	Capitán
kps	Conchita
lom	Cati
man	Matías
mka	Blanca
mnc	Miko
mnk	Estasio
mob	Forma T.
mol	Rese T.
otg	Nuria
otgB	Nuria
ott	Sisebuto
owl	Sócrates
ows	Estela
pck	Conga
pge	Fígaro
pgeB	Fígaro
pkn	Soponcio
plk	Sol
plm	Estrella
plo	Carturo
poo	Marilín
pooB	Marilín
pyn	Coti
rcm	Tendo
rco	Tom Nook
rct	Nendo
rei	Renato
seo	Pascal
skk	Betunio
slo	Gandulio
spn	Fauno
sza	Canela
szo	Candrés
tap	Alakama
tkkA	Totakeke
tkkB	DJ KeKe
ttlA	Tórtimer
ttlB	Córnimer
tuk	Guindo
upa	Dr. Sito
wrl	Da Morsi
xct	Fran
