ant00	schneuf
flg18	platsch
flg19	quappi
goa00	määääh
goa01	mekker
goa02	o-o-ja-a-a
goa04	mähmääh
goa06	mecker
goa07	mehehe
goa08	heckmeck
goa09	schlummer
gor00	hoheit
gor01	zwerg
gor02	ugh
gor04	ugh-ugh
gor05	äffäff
gor07	auauauu
gor08	uga-uga
gor09	brahaha
gor10	kongkong
gor11	kittykong
ham00	twirps
ham01	fiep
ham02	hähäm
ham03	mjamjam
ham04	hümpf
ham05	backi
ham06	millimilli
ham07	squiep
ham09	sososo
hip00	pfffft
hip02	blupper
hip03	blubber
hip04	skwiirt
hip05	mei o mei
hip08	höhöhö
hip09	hipphipp
hrs00	wiehie
hrs01	gimazuka
hrs02	wichichi
hrs03	anfänger
hrs04	galoppp
hrs05	heu-ja
hrs06	greenhorn
hrs07	plätzchen
hrs08	nachbar
hrs09	mausezahn
hrs10	schauder
hrs11	hamham
hrs12	nichja
hrs13	wihihihi
hrs16	tada
kal00	grins
kal01	schnarchhh
kal02	zubba
kal03	sternchen
kal04	partner
kal05	altes Haus
kal07	aloha
kal08	kolala
kal09	liptus
kal10	yeah
kgr00	kindchen
kgr01	knirps
kgr02	beutel
kgr05	schmusi
kgr06	flottflott
kgr08	boingboing
kgr09	bonk
kgr10	hüpf
lon00	kumpel
lon01	grolll
lon02	coolcat
lon04	löwieh
lon06	gröhl
lon07	graaah
lon08	grrroooh
mnk01	spitzi
mnk02	bannabanna
mnk03	agaga
mnk04	abbo
mnk05	strebstreb
mnk06	kikiki
mnk07	makimaki
mnk08	miekmiek
mnk09	wuwu
mus00	quieek
mus01	pfiffikus
mus02	visavisa
mus03	kicher
mus04	pieeeps
mus05	boa-ey
mus08	schatzi
mus09	fieps
mus10	piepser
mus12	knabba
mus14	käääse
mus15	achja
mus16	nagnag
mus17	bling
mus18	hoho
mus19	tjöm
ocp00	schling
ocp01	blubblub
ocp02	saug
ocp04	klink-klonk
ost00	hühnchen
ost01	ajajajjj
ost02	flottilda
ost03	affenzahn
ost04	küken
ost05	püh
ost06	happahappa
ost07	zwoing
ost08	flaum
ost09	flappflapp
ost10	pieks
pbr00	ahhh
pbr01	adlerauge
pbr02	schwinge
pbr03	käpten
pbr05	flapp
pbr06	kriiieck
pbr07	krahkrah
pbr08	kiiiiiih
pbr09	kraaack
pbr10	hirro
pgn00	b-bestens
pgn01	k-k-kumpel
pgn02	d-d-dude
pgn03	slaschi
pgn04	grrmpf
pgn05	sssweetie
pgn06	brrrrrrrrr
pgn07	mömömö
pgn09	wackel
pgn10	menschlein
pgn11	plitsch
pgn12	watschl
pgn13	flatsch
pgn14	bibib
pig00	oinkoink
pig01	schnauzie
pig02	gronk
pig03	schniff
pig04	schnoink
pig05	grunz
pig08	würstel
pig09	quiek
pig10	kringel
pig11	glotz
pig13	lächel
pig14	borsti
pig15	quiiiek
pig16	grubbel
pig17	schnorrz
rbt00	tiihii
rbt01	uiui
rbt02	hoppsa
rbt03	hopplahopp
rbt04	herzblatt
rbt05	liebling
rbt06	hihi
rbt07	öhrchen
rbt08	goseimas
rbt09	paffpaff
rbt10	hasi
rbt11	hüpfauf
rbt12	hey man
rbt13	knuddl
rbt14	puschel
rbt15	amigo
rbt16	langohr
rbt17	hüppi
rbt18	mümml
rbt19	jahopp
rbt20	kerokero
rbt21	hobbli
rhn00	rumpel
rhn01	stampf
rhn02	punk
rhn04	schneuzel
rhn05	wumpa
rhn07	trarapp
rhn08	bomm
shp00	bäääh
shp01	däääää
shp02	la-a-amm
shp03	badabing
shp04	bäääby
shp07	blö-ö-ök
shp08	zottel
shp09	wuschel
shp10	bwäääh
shp11	knuddel
shp12	knuffi
shp13	helau
shp14	kikilala
shp15	jau
squ00	faulenzer
squ01	knack
squ02	manno
squ03	spatzl
squ04	knusper
squ05	strampl
squ06	hulaaaa
squ07	muskat
squ08	krazz
squ09	knabber
squ10	knorz
squ11	huiii
squ13	tjaja
squ14	jammi
squ15	nussi
squ16	hoppi
squ17	huschhusch
squ18	kekeke
squ21	knibbi
tig00	brüll
tig01	mango
tig02	grrrummel
tig03	schnurf
tig04	krrrrrr
tig05	kchhh
tig06	prrr
wol00	harrumff
wol01	auuuuuu
wol02	knurrr
wol03	jaulll
wol04	heuuul
wol05	ähmmm
wol06	braul
wol08	scholli
wol09	ahiii
wol10	ahuuu
wol12	foxtrott
