00079_0	无图案白色
01779_6	浅绿色
01779_7	浅蓝色
01783_0	苹果
01783_1	鱼
01783_2	花朵
01792_0	白色
01792_1	花朵
01792_2	字母
01792_3	变形虫图腾
01792_4	彩虹色
01792_5	缤纷色
01802_0	橙汁
01802_1	运动饮料
01802_2	特卖
01802_3	可爱色
01803_0	流畅白
01803_1	光泽黑
01803_2	黑色标志
01803_3	白色标志
01803_4	坚硬标志
01803_5	复古标志
01816_0	白色
01816_1	紫色
01816_2	黑色
01816_3	黄色
01816_4	粉红
01816_5	红色
01816_6	绿色
01816_7	蓝色
01820_0	白色衬衫
01820_1	彩色衬衫
01820_2	条纹衬衫
01820_3	蕾丝领针织衫
01820_4	T恤
01820_5	毛衣
01838_0	白色
01838_1	黄色
01838_2	粉红
01838_3	蓝色
01849_0	井字框
01849_1	花
01849_2	格子
01849_3	条纹
01850_0	桌面
01850_1	搜索引擎
01850_2	计算器
01850_3	互联网
01850_4	网络购物
01850_5	聊天工具
01861_0	园艺杂志
01861_1	旅游指南
01861_2	时尚杂志
01861_3	体育杂志
01861_4	漫画杂志
01861_5	儿童杂志
01861_6	周刊
01870_0	无
01870_1	方形标志
01870_2	圆形标志
01870_3	鱼
01870_4	胡萝卜
01870_5	奶酪
01899_0	音乐家的签名
01899_1	喜剧演员的签名
02020_0	自然白色
02020_1	导演黑色
02020_2	典雅皮革
02561_0	白色
02561_1	灰色
02561_2	粉红
02561_3	浅蓝色
02561_4	黄色图案
02561_5	绿色图案
02561_6	橘色图案
02561_7	海军蓝图案
02587_0	白色
02587_1	蓝色
02587_2	粉红
02587_3	绿色
02587_4	黄色
02605_0	橘色
02605_1	粉红
02605_2	蓝色
02605_3	绿色
02606_0	无图案
02606_1	红色嘉顿格纹
02606_2	蓝色嘉顿格纹
02606_3	绿色嘉顿格纹
02606_4	桃子嘉顿格纹
02606_5	柠檬嘉顿格纹
02713_0	无
02713_1	可爱色
02713_2	摇滚
02713_3	水果
02713_4	告示物
03200_0	海军蓝
03200_1	蓝灰色
03200_2	棕色
03229_0	白色
03229_1	残旧
03229_2	蓝色条纹
03229_3	红色条纹
03229_4	绿色条纹
03230_0	红色
03230_1	蓝色
03230_2	橘色
03230_3	绿色
03305_0	熊
03305_1	草莓
03305_2	蝴蝶
03305_3	火车
03305_4	脚印
03307_0	白色
03307_1	花朵
03307_2	圆点
03307_3	黑色条纹
03307_4	黄色条纹
03439_0	无
03439_1	橘色
03439_2	粉红
03439_3	蓝色
03439_4	绿色
03444_0	蓝色
03444_1	红色格纹
03444_2	绿色格纹
03444_3	米色
03444_4	彩色
03445_0	粗横纹
03445_1	波点
03445_2	海军蓝
03445_3	三色
03449_0	无
03449_1	橘色
03449_2	粉红
03449_3	蓝色
03449_4	绿色
03467_0	黄色
03467_1	蓝色
03467_2	红色
03467_3	灰色
03468_0	海洋色粗横纹
03468_1	红色条纹
03468_2	彩色
03468_3	贝壳色
03468_4	蓝色
03468_5	黄色
03468_6	白色
03502_0	棕色
03502_1	白色
03502_2	灰色
03502_3	深棕色
03561_0	海军蓝
03561_1	贝壳粉红
03586_0	美食
03586_1	车辆
03586_2	时尚
03586_3	户外活动
03586_4	度假
03586_5	音乐
03586_6	偶像
03590_0	桌面
03590_1	搜索引擎
03590_2	计算器
03590_3	互联网
03590_4	程序
03590_5	画图
03590_6	DAW软件
03617_0	无
03617_1	绿色条纹
03617_2	红色条纹
03617_3	彩色
03617_4	波浪纹
03618_0	红色
03618_1	蓝色
03618_2	黄色
03621_0	白色
03621_1	黑色
03621_2	浅蓝色
03621_3	橘色
03621_4	黄色
03621_5	粉红
03621_6	绿色粗横纹
03621_7	红色粗横纹
03622_0	草绿色
03622_1	芥末绿
03622_2	桃红色
03622_3	蓝紫色
03692_0	宠物
03692_1	通缉犯
03692_2	广告
03692_3	警告
03702_0	黄色
03702_1	蓝色
03702_2	粉红
03946_0	白色
03946_1	黑色
03946_2	绿色
03946_3	蓝色
03946_4	橘色
03946_5	浅木色
03946_6	深木色
03947_0	白色
03947_1	黑色
03947_2	绿色
03947_3	蓝色
03947_4	橘色
03947_5	浅木色
03947_6	深木色
03965_0	白纸
03965_1	笑脸
03965_2	虫子
03965_3	静物画
04034_0	文件
04034_1	原稿纸
04034_2	插图
04034_3	设计图
04035_0	无
04035_1	基里姆
04035_2	奇马约
04035_3	熊
04035_4	拼布
04036_0	无
04036_1	基里姆
04036_2	奇马约
04036_3	熊
04036_4	拼布
04039_0	无
04039_1	基里姆
04039_2	奇马约
04039_3	熊
04039_4	拼布
04040_0	无
04040_1	基里姆
04040_2	奇马约
04040_3	熊
04040_4	拼布
04041_0	基里姆
04041_1	奇马约
04041_2	熊
04041_3	拼布
04043_0	无
04043_1	基里姆
04043_2	奇马约
04043_3	熊
04043_4	拼布
04044_0	无
04044_1	基里姆
04044_2	奇马约
04044_3	熊
04044_4	拼布
04068_0	白色
04068_1	海军蓝
04068_2	粉红
04068_3	橘色
04068_4	绿色
04069_0	白色
04069_1	黑色
04069_2	红色花朵
04069_3	蓝色花朵
04069_4	绿色花朵
04069_5	黄色花朵
04069_6	粉红色花朵
04101_0	文件
04101_1	图表
04101_2	插图
04101_3	信息
04102_0	白色
04102_1	黑色
04102_2	蓝色
04102_3	红色
04102_4	黄色
04122_0	白纸
04122_1	故事漫画
04122_2	四格漫画
04140_0	黄色的油
04140_1	绿色动物
04140_2	黑色复古
04144_0	红色线条
04144_1	蓝色蜜蜂
04144_2	黑色数字
04196_0	人型
04196_1	手型·人型
04196_2	圆型
04196_3	自行车
04196_4	箭头
04196_5	爱心
04196_6	叶子
04308_0	日落
04308_1	日光
04308_2	雪景
04308_3	深褐色街景
04308_4	城堡
04445_0	绿色
04445_1	黑色
04445_2	白色
04445_3	自然木色
05338_0	无图案
05338_1	线条
05338_2	冲孔板
05338_3	横条壁板
05338_4	格子
05338_5	土墙
05338_6	水泥
05338_7	金色
05397_0	绿色
05397_1	红色
05397_2	粉红
05397_3	黑色
05397_4	白色
05397_5	蓝色
05397_6	黄色
05397_7	米色
07047_0	蓝紫色
07047_1	蓝色
07047_2	红豆
07047_3	深绿色
07047_4	金鱼
07047_5	鹤
07047_6	金色
07048_0	蓝紫色
07048_1	蓝色
07048_2	红豆
07048_3	深绿色
07048_4	金鱼
07048_5	鹤
07048_6	金色
07132_0	橘色
07132_1	粉红
07132_2	蓝色
07132_3	绿色
07133_0	无
07133_1	橘色
07133_2	粉红
07133_3	蓝色
07133_4	绿色
07150_0	绿色
07150_1	红色
07150_2	蓝色
07150_3	黑色
07150_4	黄色
07151_0	绿色
07151_1	红色
07151_2	蓝色
07151_3	黑色
07151_4	黄色
07152_0	绿色
07152_1	红色
07152_2	蓝色
07152_3	黑色
07152_4	黄色
07154_0	无
07154_1	水果
07154_2	怀旧
07154_3	古董
07154_4	小心轻放
07154_5	缤纷贴纸
07154_6	运送贴纸
07154_7	彩色贴纸
07282_0	书法
07282_1	山水
07282_2	鱼
07282_3	鸡
07282_4	花
07531_0	粗横纹
07531_1	格纹
07531_2	波点
07531_3	叶子
07531_4	三角形
07681_0	格子
07681_1	金鱼
07681_2	山茶
07681_3	锁
07682_0	格子
07682_1	金鱼
07682_2	山茶
07682_3	锁
07802_0	白色
07802_1	青苔绿
07802_2	圆点图案
07802_3	格子图案
07802_4	小花图案
08096_0	无
08096_1	标志
08096_2	日落
08096_3	随机
08298_0	白色
08298_1	条纹
08298_2	格子
08298_3	宇宙
08298_4	彩条
08760_0	绿色
08760_1	红色
08760_2	粉红
08760_3	黑色
08760_4	白色
08760_5	蓝色
08760_6	黄色
08760_7	米色
12361_0	红色
12361_1	白色
12361_2	黑色
12366_0	无
12366_1	图案A
12366_2	图案B
12366_3	图案C
12366_4	图案D
12366_5	图案E
12366_6	叶子
12366_7	爱心
12410_0	信息
12410_1	莉咏＆健兆
12605_0	虎纹
12605_1	海
12605_2	花田
12637_0	人
12637_1	牙齿
12637_2	动物
12669_0	蓝色
12669_1	红色
12669_2	绿色
12669_3	黄色
12669_4	白色格纹
12669_5	黑色格纹
12669_6	甜甜圈
12679_0	名单
12679_1	代办清单
12679_2	问诊单
12693_0	黄色
12693_1	红色
12693_2	绿色
12693_3	蓝色
12693_4	黑色
12699_0	咖啡
12699_1	书
12699_2	饮食
12699_3	蛋糕
12699_4	卡啦OK
12699_5	日本料理
12699_6	软饮料
12715_0	风景照片
12715_1	人物照片
12715_2	插图
12744_0	白色
12744_1	灰蓝色
12744_2	海军蓝
12744_3	橘色嘉顿格纹
12744_4	绿色嘉顿格纹
12744_5	酒红色
12744_6	大马士革蓝色
12744_7	大马士革棕色
12745_0	白色
12745_1	灰蓝色
12745_2	海军蓝
12745_3	橘色嘉顿格纹
12745_4	绿色嘉顿格纹
12745_5	酒红色
12745_6	大马士革蓝色
12745_7	大马士革棕色
12782_0	象牙色
12782_1	海军蓝
12782_2	绿色
12782_3	红色
12782_4	红褐色
12782_5	黄色
12782_6	粉红
12782_7	浅蓝色
12879_0	FREE
12879_1	50%OFF
12879_2	爆炸
12879_3	手指
12879_4	云朵
12879_5	圆形
12879_6	星星
12879_7	爱心
12880_0	洋食
12880_1	中华料理
12880_2	寿司
12880_3	汉堡
12880_4	软饮料
12880_5	面包
12880_6	服装
12880_7	FREE
12881_0	蓝色
12881_1	红色
12881_2	黄色
12881_3	黑色
12881_4	白色
12882_0	绿色
12882_1	白色
12882_2	红色
12882_3	黄色
12882_4	蓝色
12883_0	休闲
12883_1	自然
12883_2	酷感
12883_3	可爱
12883_4	儿童
12886_0	休闲
12886_1	自然
12886_2	酷感
12886_3	可爱
12886_4	儿童
12890_0	无
12890_1	红白条纹
12890_2	黄色
12890_3	蓝色
12890_4	绿色
12892_0	无图案牛皮纸
12892_1	白色
12892_2	蓝色
12892_3	黑色
12892_4	红色
12892_5	绿色
12892_6	黄色
12892_7	花纹
12991_0	棕色
12991_1	蓝色
12991_2	白色
12991_3	粉红
12991_4	黄色
12991_5	绿色
12991_6	浅蓝色
12991_7	紫色
12994_0	棕色
12994_1	蓝色
12994_2	白色
12994_3	粉红
12994_4	黄色
12994_5	绿色
12994_6	浅蓝色
12994_7	紫色
12995_0	棕色
12995_1	蓝色
12995_2	白色
12995_3	粉红
12995_4	黄色
12995_5	绿色
12995_6	浅蓝色
12995_7	紫色
12996_0	棕色
12996_1	蓝色
12996_2	白色
12996_3	粉红
12996_4	黄色
12996_5	绿色
12996_6	浅蓝色
12996_7	紫色
12998_0	无
12998_1	蓝色
12998_2	白色
12998_3	粉红
12998_4	黄色
12998_5	绿色
12998_6	浅蓝色
12998_7	紫色
12999_0	无
12999_1	蓝色
12999_2	白色
12999_3	粉红
12999_4	黄色
12999_5	绿色
12999_6	浅蓝色
12999_7	紫色
13005_0	红色
13005_1	蓝色
13005_2	橘色
13005_3	青苔绿
13005_4	紫色
13005_5	白色
13005_6	灰色
13005_7	黑色
13006_0	黑色
13006_1	白色
13006_2	红色
13006_3	橘色
13006_4	蓝色
13006_5	莱姆绿
13006_6	黄色
13006_7	棕色
13007_0	黑色
13007_1	白色
13007_2	红色
13007_3	橘色
13007_4	蓝色
13007_5	莱姆绿
13007_6	黄色
13007_7	棕色
13008_0	黑色
13008_1	白色
13008_2	红色
13008_3	橘色
13008_4	蓝色
13008_5	莱姆绿
13008_6	黄色
13008_7	棕色
13009_0	黑色
13009_1	白色
13009_2	红色
13009_3	橘色
13009_4	蓝色
13009_5	莱姆绿
13009_6	黄色
13009_7	棕色
13010_0	黑色
13010_1	白色
13010_2	红色
13010_3	橘色
13010_4	蓝色
13010_5	莱姆绿
13010_6	黄色
13010_7	棕色
13073_0	小花
13073_1	蝴蝶
13073_2	雨滴
13073_3	橘色
13073_4	花朵
13073_5	点点
13073_6	叶子
13073_7	三角形
13075_0	小花
13075_1	蝴蝶
13075_2	雨滴
13075_3	橘色
13075_4	花朵
13075_5	点点
13075_6	叶子
13075_7	三角形
13076_0	无
13076_1	小花
13076_2	蝴蝶
13076_3	雨滴
13076_4	橘色
13076_5	花朵
13076_6	点点
13076_7	叶子
13077_0	无
13077_1	小花
13077_2	蝴蝶
13077_3	雨滴
13077_4	橘色
13077_5	花朵
13077_6	点点
13077_7	叶子
13078_0	无
13078_1	小花
13078_2	蝴蝶
13078_3	雨滴
13078_4	橘色
13078_5	花朵
13078_6	点点
13078_7	叶子
13079_0	无
13079_1	小花
13079_2	蝴蝶
13079_3	雨滴
13079_4	橘色
13079_5	花朵
13079_6	点点
13079_7	叶子
13081_0	无
13081_1	红色嘉顿格纹
13081_2	蓝色嘉顿格纹
13081_3	绿色嘉顿格纹
13081_4	桃子嘉顿格纹
13081_5	柠檬嘉顿格纹
13082_0	无
13082_1	红色嘉顿格纹
13082_2	蓝色嘉顿格纹
13082_3	绿色嘉顿格纹
13082_4	桃子嘉顿格纹
13082_5	柠檬嘉顿格纹
13108_0	撞色点点
13108_1	酷感折线
13108_2	米色格纹
13108_3	紫色菱形
13108_4	活力条纹
13108_5	粉嫩花朵
13108_6	蓝色波浪
13108_7	彩色橘子
13109_0	撞色点点
13109_1	酷感折线
13109_2	米色格纹
13109_3	紫色菱形
13109_4	活力条纹
13109_5	粉嫩花朵
13109_6	蓝色波浪
13109_7	彩色橘子
13110_0	无图案衬衫
13110_1	条纹衬衫
13110_2	粗横纹衬衫
13110_3	格纹衬衫
13110_4	嘉顿格纹衬衫
13110_5	粉嫩色衬衫
13110_6	星星图案衬衫
13110_7	点点图案衬衫
13138_0	植物图案
13138_1	白色花纹
13138_2	金色菱形
13138_3	大马士革红色
13138_4	大马士革黑色
13138_5	蓝色玫瑰
13138_6	粉红色玫瑰
13139_0	植物图案
13139_1	白色花纹
13139_2	金色菱形
13139_3	大马士革红色
13139_4	大马士革黑色
13139_5	蓝色玫瑰
13139_6	粉红色玫瑰
13140_0	无
13140_1	植物图案
13140_2	白色花纹
13140_3	金色菱形
13140_4	大马士革红色
13140_5	大马士革黑色
13140_6	蓝色玫瑰
13140_7	粉红色玫瑰
13141_0	植物图案
13141_1	白色花纹
13141_2	金色菱形
13141_3	大马士革红色
13141_4	大马士革黑色
13141_5	蓝色玫瑰
13141_6	粉红色玫瑰
13142_0	植物图案
13142_1	白色花纹
13142_2	金色菱形
13142_3	大马士革红色
13142_4	大马士革黑色
13142_5	蓝色玫瑰
13142_6	粉红色玫瑰
13143_0	无
13143_1	植物图案
13143_2	白色花纹
13143_3	金色菱形
13143_4	大马士革红色
13143_5	大马士革黑色
13143_6	蓝色玫瑰
13143_7	粉红色玫瑰
13151_0	福
13151_1	花
13151_2	祭
13151_3	家徽
13151_4	红白条纹
13151_5	蓝白条纹
13151_6	黄白条纹
13151_7	绿白条纹
13157_0	咖啡店菜单
13157_1	饮料菜单
13157_2	快餐菜单
13157_3	洋食菜单
13157_4	冰淇淋菜单
13157_5	时刻表
13157_6	叫号
13157_7	证券信息
13161_0	与正面相同
13161_1	屋内的观众
13161_2	屋外的观众
13161_3	蓝色Logo
13161_4	橘色Logo
13161_5	白色Logo
13161_6	粉红色Logo
13161_7	绿色Logo
13163_0	无
13163_1	介绍
13163_2	咖啡店菜单
13163_3	拉面菜单
13163_4	便签
13201_0	无
13201_1	文字
13201_2	温泉
13201_3	太阳
13201_4	郁金香
13201_5	橘子
13201_6	Logo
13205_0	经典商品
13205_1	进口食品
13205_2	有机商品
13205_3	日本料理商品
13207_0	
13207_1	
13207_2	
13207_3	×
13207_4	饮料
13207_5	麦克风
13207_6	OPEN
13207_7	微笑
13209_0	主菜单
13209_1	线上会议
13209_2	电子书籍
13209_3	点播动画
13209_4	图表数据
13209_5	儿童软件
13209_6	绘图工具
13209_7	电子漫画
13214_0	无
13214_1	可燃垃圾
13214_2	不可燃垃圾
13214_3	瓶·罐·宝特瓶
13214_4	塑料
13214_5	报章杂志
13214_6	其他垃圾
13220_0	福
13220_1	花
13220_2	祭
13220_3	家徽
13220_4	红白条纹
13220_5	蓝白条纹
13220_6	黄白条纹
13220_7	绿白条纹
13269_0	WANTED
13269_1	广告
13288_0	无
13288_1	米色
13288_2	粉红
13288_3	黄色
13288_4	绿色
13288_5	蓝色
13288_6	黑色
13294_0	蓝色×白色
13294_1	红色×白色
13294_2	黄色×白色
13294_3	粉红色×白色
13294_4	浅蓝色×白色
13294_5	蓝色×黄色
13294_6	红色×黄色
13294_7	绿色
13295_0	正确答案A
13295_1	正确答案B
13295_2	正确答案C
13295_3	正确答案D
13295_4	错误答案A
13295_5	错误答案B
13295_6	错误答案C
13295_7	错误答案D
13296_0	无
13296_1	白色
13296_2	红色
13296_3	黄色
13296_4	绿色
13296_5	浅蓝色
13296_6	灰色
13296_7	黑色
13299_0	无
13299_1	苹果标签
13299_2	橘子标签
13299_3	白色标签
13299_4	绿色标签
13299_5	黑色标签
13303_0	无
13303_1	白色标签
13303_2	棕色标签
13303_3	黑色标签
13336_0	无
13336_1	蓝色
13336_2	绿色
13336_3	白色
13336_4	灰色
13336_5	橘色
13337_0	园艺杂志
13337_1	旅游指南
13337_2	时尚杂志
13337_3	体育杂志
13337_4	漫画杂志
13337_5	儿童杂志
13337_6	周刊
13339_0	白色
13339_1	浅蓝色
13339_2	深绿色
13339_3	红色
13339_4	浅绿色
13339_5	黄色
13339_6	粉红
13339_7	米色
13341_0	米色
13341_1	灰色
13341_2	海军蓝
13341_3	黄色
13341_4	绿色
13341_5	浅蓝色
13341_6	粉红
13341_7	棕色
13345_0	绿色＆红色
13345_1	浅蓝色
13345_2	浅棕色
13345_3	棕色
13345_4	蓝色＆黄色
13345_5	粉红
13345_6	黄色
13345_7	黑色
13347_0	无
13347_1	汉字Logo
13347_2	英文Logo
13347_3	海豚
13356_0	无图案棕色
13356_1	附标签棕色
13356_2	白色
13356_3	黄色
13356_4	浅蓝色
13356_5	黑色
13360_0	蓝色
13360_1	浅棕色
13360_2	粉红
13360_3	浅蓝色
13360_4	莱姆绿
13360_5	橘色
13360_6	紫色
13362_0	无
13362_1	古地图
13363_0	波形数据
13363_1	X光
13363_2	红外热成像仪
13363_3	系统菜单
13363_4	错误
13365_0	无
13365_1	Logo
13365_2	郁金香
13365_3	公交车
13369_0	无
13369_1	白色Logo
13369_2	棕色Logo
13369_3	黑色Logo
13454_0	黑色
13454_1	白色
13454_2	红色
13454_3	橘色
13454_4	蓝色
13454_5	莱姆绿
13454_6	黄色
13454_7	棕色
13502_0	等高线数据
13502_1	广域地图
13502_2	雷达
13502_3	设计图
13502_4	程序
13504_0	等高线数据
13504_1	广域地图
13504_2	雷达
13504_3	设计图
13504_4	程序
13512_0	蓝色
13512_1	黄色
13512_2	红色×白色
13513_0	无
13513_1	鱼儿
13513_2	锚
13513_3	鱼
13513_4	虾夷扇贝
13513_5	Logo
13515_0	无
13515_1	太阳
13515_2	Logo
13515_3	注意事项
13515_4	严禁烟火
13515_5	文字
13515_6	刻度
13521_0	桌面
13521_1	TPS
13521_2	FPS
13521_3	MMORPG
13521_4	养成游戏
13521_5	节奏游戏
13521_6	当日交易
13521_7	DAW
13522_0	简约
13522_1	优雅
13522_2	洋装
13522_3	运动风
13522_4	学院风
13522_5	啦啦队
13522_6	正式
13522_7	休闲
13523_0	无
13523_1	陶俑
13523_2	信息
13523_3	动物
13523_4	寿司
13582_0	无
13582_1	皇冠
13582_2	剑
13582_3	小鸟
13582_4	树
13583_0	蓝色
13583_1	红色
13583_2	黄色
13583_3	绿色
13583_4	白色
13583_5	灰色
13583_6	黑色
13584_0	象牙色
13584_1	红色
13584_2	灰蓝色
13584_3	黑色
13584_4	粉红
13584_5	浅绿色
13584_6	紫色
13586_0	蓝色
13586_1	红色
13586_2	绿色
13586_3	黄色
13586_4	紫色
13586_5	浅紫色
13586_6	棕色
13586_7	深棕色
13589_0	无
13589_1	黑色＆红色
13589_2	黑色＆蓝色
13589_3	树Logo
13589_4	文字Logo
13589_5	海狮Logo
13590_0	无
13590_1	皇冠
13590_2	剑
13590_3	小鸟
13590_4	树
13606_0	无
13606_1	鱼儿
13606_2	锚
13606_3	鱼
13606_4	虾夷扇贝
13606_5	Logo
13615_0	无
13615_1	白色文字
13615_2	蓝色文字
13615_3	树
13615_4	花朵
13615_5	动物
13621_0	无
13621_1	白色文字
13621_2	山
13621_3	太阳
13621_4	皇冠
13621_5	花朵
13624_0	黄色
13624_1	白色
13624_2	黑色
13624_3	红色×蓝色
13630_0	象牙色
13630_1	蓝色
13630_2	红色
13630_3	绿色
13630_4	粉红
13630_5	浅蓝色
13630_6	黑色
13630_7	鸭子图案
13631_0	文字
13631_1	零钱袋
13631_2	虫子
13631_3	鱼儿
13631_4	陶俑
13632_0	红色条纹
13632_1	蓝色条纹
13632_2	绿色条纹
13632_3	爆米花图案
13632_4	缤纷图案
13632_5	植物图案
13632_6	烟花图案
13632_7	蝴蝶结图案
13633_0	红色
13633_1	蓝色
13633_2	绿色
13633_3	紫色
13633_4	白色
13633_5	黑色
13633_6	金色
13634_0	无
13634_1	红色贴纸
13634_2	蓝色贴纸
13634_3	黄色贴纸
13636_0	白色解说板
13636_1	黑色解说板
13636_2	风景画
13636_3	静物画
13636_4	人物画
13636_5	版画
13636_6	抽象画
13636_7	儿童绘画
13637_0	绿色
13637_1	黄色
13637_2	红色
13637_3	蓝色
13637_4	橘色
13637_5	黑色
13637_6	白色
13637_7	粉红
13638_0	绿色
13638_1	黄色
13638_2	红色
13638_3	蓝色
13638_4	橘色
13638_5	棕色
13638_6	白色
13638_7	粉红
13639_0	无图案
13639_1	线条
13639_2	冲孔板
13639_3	横条壁板
13639_4	格子
13639_5	土墙
13639_6	水泥
13639_7	金色
13640_0	
13640_1	
13640_2	
13640_3	×
13640_4	饮料
13640_5	麦克风
13640_6	OPEN
13640_7	微笑
13647_0	无
13647_1	危险
13647_2	活动通知
13647_3	招募广告
13647_4	人物PR
13647_5	怀旧
13647_6	垃圾回收日
13651_0	书
13651_1	山
13651_2	龙
13651_3	鹤
13651_4	樱
13651_5	枫
13652_0	宝藏地图
13652_1	航海图
13652_2	世界地图
13655_0	押花
13655_1	海的照片
13655_2	山的照片
13655_3	夕阳照片
13655_4	都会照片
13655_5	深褐色照片
13655_6	大合照
13655_7	运动照片
13656_0	白色
13656_1	黄色
13656_2	橘色
13656_3	红色
13656_4	粉红
13656_5	紫色
13656_6	蓝色
13656_7	绿色
13657_0	花草
13657_1	山
13657_2	鸟
13657_3	单色配色花纹
13657_4	彩色花纹
13657_5	深褐色花纹
13657_6	石榴
13657_7	大地
13680_0	银色
13680_1	黑色
13680_2	浅棕色
13680_3	棕色
13681_0	红色
13681_1	黄色
13681_2	绿色
13681_3	海军蓝
13681_4	橘色
13681_5	白色
13681_6	黑色
13681_7	三色
13683_0	紫色
13683_1	蓝色
13683_2	粉红
13683_3	绿色
13683_4	橘色
13683_5	棕色
13683_6	白色
13683_7	黑色
13701_0	酒红色
13701_1	绿色
13701_2	黄色
13701_3	浅蓝色
13701_4	白色
13701_5	海军蓝
13701_6	黑色
13701_7	紫色
13709_0	无
13709_1	橘色
13709_2	黑色
13709_3	黄色
13709_4	蓝色
13709_5	绿色
13727_0	无图案白色
13727_1	浅棕色
13727_2	红色
13727_3	绿色
13727_4	深棕色
13727_5	粉红
13727_6	黄色
13727_7	蓝色
13730_0	白色
13730_1	浅蓝色
13730_2	粉红
13730_3	浅蓝色
13730_4	黄色图案
13730_5	绿色图案
13730_6	橘色图案
13730_7	海军蓝图案
13744_0	花朵
13744_1	文字设计
13744_2	树木
13744_3	美式松饼
13744_4	怀旧
13744_5	通知
13744_6	照片
13744_7	鸟
13746_0	无图案白色
13746_1	无图案黑色
13746_2	无图案绿色
13746_3	无图案浅棕色
13746_4	植物土
13746_5	石灰
13746_6	豆子
13747_0	ON AIR
13747_1	OPEN
13747_2	CLOSED
13747_3	WELCOME
13747_4	VIP
13747_5	DANGER
13747_6	使用中
13747_7	作业中
13751_0	森林照片
13751_1	海的照片
13751_2	花的照片
13751_3	铁路照片
13751_4	黑白照片
13756_0	无
13756_1	蓝色Logo
13756_2	白色Logo
13756_3	橘子
13756_4	苹果
13756_5	桃子
13756_6	梨子
13756_7	樱桃
13764_0	白色
13764_1	黄色
13764_2	橘色
13764_3	红色
13764_4	粉红
13764_5	紫色
13764_6	蓝色
13764_7	绿色
13925_0	简报资料
13925_1	视频会议
13925_2	汇率走势
13925_3	监控画面
13925_4	天气预报
13925_5	业务信息
13925_6	体育转播
13925_7	蓝屏
13926_0	默认值
13926_1	↑
13926_2	→
13926_3	←
13926_4	禁止进入
13926_5	咖啡
13926_6	包包
13926_7	车子
14049_0	无
14049_1	企业名
14049_2	冷链配送
14049_3	搬家公司
14049_4	水产批发
14049_5	蔬菜批发
14051_0	静物画
14051_1	肖像画
14051_2	人物画
14051_3	故事
14051_4	油彩风景画
14051_5	丙烯风景画
14051_6	抽象画
14051_7	禅绕画
14215_0	音符
14215_1	手
14215_2	海洋生物
14215_3	花
14215_4	星星
14215_5	爱心
14215_6	雪结晶
14215_7	恐龙
14346_0	SPECIAL
