ant00	有的
pbr05	溜溜
pbr06	多謝
pbr07	呀啊
pbr08	是
pbr09	是呢
pbr10	好好做
pgn00	若
pgn01	企鵝
pgn02	十字
pgn03	禪
pgn04	滑溜溜
pgn05	唔呼呼
pgn06	候補
pgn07	嘟噥
pgn09	所以啦
pgn10	軋軋
pgn11	捲捲
pgn12	寶寶
pgn13	這樣唷
pgn14	涼爽
pig00	感謝
pig01	哇賽
pig02	萬年
pig03	懶懶
pig04	唷
pig05	噗
pig08	公畝
pig09	噗嘻
pig10	嗯
pig11	彈彈
pig13	噹啷
pig14	豚
pig15	比利比利
pig16	討厭啦
pig17	噗呼呼
rbt00	好像喔
rbt01	啷
rbt02	土俑
rbt03	忍忍
rbt04	唔賀
rbt05	琪他
rbt06	就這樣啦
rbt07	我說呀
rbt08	臣
rbt09	普通
rbt10	是啦
rbt11	酸酸
rbt12	嚕啦啦
rbt13	哩啦啦
rbt14	風
rbt15	朋友
rbt16	真的
rbt17	不妙
rbt18	就是如此
rbt19	月球
rbt20	蛙蛙
rbt21	妹妹頭
rhn00	犀犀
rhn01	嗯噗
rhn02	混混
rhn04	念念
rhn05	謝謝
rhn07	糖糖
rhn08	超強
shp00	就這樣呀
shp01	一二三
shp02	咩
shp03	羊毛
shp04	愛
shp07	是的唷
shp08	北鼻
shp09	一絲絲
shp10	等啊
shp11	薯薯
shp12	辛苦了
shp13	丑丑
shp14	毛茸茸
shp15	哇耶
squ00	就是唷
squ01	哼哼
squ02	是囉
squ03	正經
squ04	咯吱咯吱
squ05	嘿唷
squ06	你
squ07	要是
squ08	閃閃
squ09	喔哼
squ10	炯炯
squ11	啦啦
squ13	做得好
squ14	咻
squ15	甜甜
squ16	鼓栗鼓栗
squ17	不管怎樣
squ18	當然囉
squ21	亮晶晶
tig00	王
tig01	完全
tig02	虎虎
tig03	是喔
tig04	但是
tig05	啊哈
tig06	雪豹
wol00	不是嘛
wol01	不然呢
wol02	羅羅
wol03	漂亮
wol04	咳呵
wol05	就是說哇
wol06	這倒是
wol08	喔呵呵
wol09	花花
wol10	喔耶
wol12	呀哈
