00079_0	白色花紋
08760_2	粉紅色
08760_3	黑色
08760_4	白色
08760_5	藍色
08760_6	黃色
08760_7	米色
12361_0	紅色
12361_1	白色
12361_2	黑色
12366_0	無
12366_1	圖案A
12366_2	圖案B
12366_3	圖案C
12366_4	圖案D
12366_5	圖案E
12366_6	葉子
12366_7	愛心
12410_0	訊息
12410_1	莉詠＆健兆
12605_0	虎紋
12605_1	海
12605_2	花田
12637_0	人
12637_1	牙齒
12637_2	動物
12669_0	藍色
12669_1	紅色
12669_2	綠色
12669_3	黃色
12669_4	白色格紋
12669_5	黑色格紋
12669_6	甜甜圈
12679_0	名單
12679_1	待辦清單
12679_2	問診單
12693_0	黃色
12693_1	紅色
12693_2	綠色
12693_3	藍色
12693_4	黑色
12699_0	咖啡
12699_1	書
12699_2	飲食
12699_3	蛋糕
12699_4	卡拉OK
12699_5	日本料理
12699_6	碳酸飲料
12715_0	風景照片
12715_1	人物照片
12715_2	插圖
12744_0	無圖案白色
12744_1	無圖案灰藍色
12744_2	無圖案海軍藍
12744_3	橘色嘉頓格
12744_4	綠色嘉頓格
12744_5	酒紅色
12744_6	大馬士革藍色
12744_7	大馬士革棕色
12745_0	無圖案白色
12745_1	無圖案灰藍色
12745_2	無圖案海軍藍
12745_3	橘色嘉頓格
12745_4	綠色嘉頓格
12745_5	酒紅色
12745_6	大馬士革藍色
12745_7	大馬士革棕色
12782_0	象牙色
12782_1	海軍藍
12782_2	綠色
12782_3	紅色
12782_4	土黃色
12782_5	黃色
12782_6	粉紅色
12782_7	淺藍色
12879_0	FREE
12879_1	50%OFF
12879_2	閃電
12879_3	手指
12879_4	雲朵
12879_5	圓形
12879_6	星星
12879_7	愛心
12880_0	洋食
12880_1	中華料理
12880_2	壽司
12880_3	漢堡
12880_4	碳酸飲料
12880_5	麵包
12880_6	服裝
12880_7	FREE
12881_0	藍色
12881_1	紅色
12881_2	黃色
12881_3	黑色
12881_4	白色
12882_0	綠色
12882_1	白色
12882_2	紅色
12882_3	黃色
12882_4	藍色
12883_0	休閒
12883_1	自然
12883_2	酷感
12883_3	可愛
12883_4	兒童
12886_0	休閒
12886_1	自然
12886_2	酷感
12886_3	可愛
12886_4	兒童
12890_0	無
12890_1	紅白條紋
12890_2	黃色
12890_3	藍色
12890_4	綠色
12892_0	無圖案牛皮紙
12892_1	白色
12892_2	藍色
12892_3	黑色
12892_4	紅色
12892_5	綠色
12892_6	黃色
12892_7	花朵圖案
12991_0	棕色
12991_1	藍色
12991_2	白色
12991_3	粉紅色
12991_4	黃色
12991_5	綠色
12991_6	淺藍色
12991_7	紫色
12994_0	棕色
12994_1	藍色
12994_2	白色
12994_3	粉紅色
12994_4	黃色
12994_5	綠色
12994_6	淺藍色
12994_7	紫色
12995_0	棕色
12995_1	藍色
12995_2	白色
12995_3	粉紅色
12995_4	黃色
12995_5	綠色
12995_6	淺藍色
12995_7	紫色
12996_0	棕色
12996_1	藍色
12996_2	白色
12996_3	粉紅色
12996_4	黃色
12996_5	綠色
12996_6	淺藍色
12996_7	紫色
12998_0	無
12998_1	藍色
12998_2	白色
12998_3	粉紅色
12998_4	黃色
12998_5	綠色
12998_6	淺藍色
12998_7	紫色
12999_0	無
12999_1	藍色
12999_2	白色
12999_3	粉紅色
12999_4	黃色
12999_5	綠色
12999_6	淺藍色
12999_7	紫色
13005_0	紅色
13005_1	藍色
13005_2	橘色
13005_3	青苔綠
13005_4	紫色
13005_5	白色
13005_6	灰色
13005_7	黑色
13006_0	黑色
13006_1	白色
13006_2	紅色
13006_3	橘色
13006_4	藍色
13006_5	萊姆綠
13006_6	黃色
13006_7	棕色
13007_0	黑色
13007_1	白色
13007_2	紅色
13007_3	橘色
13007_4	藍色
13007_5	萊姆綠
13007_6	黃色
13007_7	棕色
13008_0	黑色
13008_1	白色
13008_2	紅色
13008_3	橘色
13008_4	藍色
13008_5	萊姆綠
13008_6	黃色
13008_7	棕色
13009_0	黑色
13009_1	白色
13009_2	紅色
13009_3	橘色
13009_4	藍色
13009_5	萊姆綠
13009_6	黃色
13009_7	棕色
13010_0	黑色
13010_1	白色
13010_2	紅色
13010_3	橘色
13010_4	藍色
13010_5	萊姆綠
13010_6	黃色
13010_7	棕色
13073_0	小花朵
13073_1	蝴蝶
13073_2	雨滴
13073_3	橘子
13073_4	花朵
13073_5	點點
13073_6	葉子
13073_7	三角形
13075_0	小花朵
13075_1	蝴蝶
13075_2	雨滴
13075_3	橘子
13075_4	花朵
13075_5	點點
13075_6	葉子
13075_7	三角形
13076_0	無
13076_1	小花朵
13076_2	蝴蝶
13076_3	雨滴
13076_4	橘子
13076_5	花朵
13076_6	點點
13076_7	葉子
13077_0	無
13077_1	小花朵
13077_2	蝴蝶
13077_3	雨滴
13077_4	橘子
13077_5	花朵
13077_6	點點
13077_7	葉子
13078_0	無
13078_1	小花朵
13078_2	蝴蝶
13078_3	雨滴
13078_4	橘子
13078_5	花朵
13078_6	點點
13078_7	葉子
13079_0	無
13079_1	小花朵
13079_2	蝴蝶
13079_3	雨滴
13079_4	橘子
13079_5	花朵
13079_6	點點
13079_7	葉子
13081_0	無
13081_1	紅色嘉頓格
13081_2	藍色嘉頓格
13081_3	綠色嘉頓格
13081_4	桃紅色嘉頓格
13081_5	檸檬嘉頓格
13082_0	無
13082_1	紅色嘉頓格
13082_2	藍色嘉頓格
13082_3	綠色嘉頓格
13082_4	桃紅色嘉頓格
13082_5	檸檬嘉頓格
13108_0	撞色點點
13108_1	酷感之字形
13108_2	米色格紋
13108_3	紫色菱形
13108_4	活力條紋
13108_5	粉嫩花朵
13108_6	藍色波浪
13108_7	彩色柑橘
13109_0	撞色點點
13109_1	酷感之字形
13109_2	米色格紋
13109_3	紫色菱形
13109_4	活力條紋
13109_5	粉嫩花朵
13109_6	藍色波浪
13109_7	彩色柑橘
13110_0	無圖案襯衫
13110_1	條紋襯衫
13110_2	粗橫紋襯衫
13110_3	格紋襯衫
13110_4	嘉頓格紋襯衫
13110_5	粉嫩色襯衫
13110_6	星星圖案襯衫
13110_7	點點圖案襯衫
13138_0	植物圖案
13138_1	白色條紋
13138_2	金色菱形
13138_3	大馬士革紅色
13138_4	大馬士革黑色
13138_5	藍色玫瑰
13138_6	粉紅色玫瑰
13139_0	植物圖案
13139_1	白色條紋
13139_2	金色菱形
13139_3	大馬士革紅色
13139_4	大馬士革黑色
13139_5	藍色玫瑰
13139_6	粉紅色玫瑰
13140_0	無
13140_1	植物圖案
13140_2	白色條紋
13140_3	金色菱形
13140_4	大馬士革紅色
13140_5	大馬士革黑色
13140_6	藍色玫瑰
13140_7	粉紅色玫瑰
13141_0	植物圖案
13141_1	白色條紋
13141_2	金色菱形
13141_3	大馬士革紅色
13141_4	大馬士革黑色
13141_5	藍色玫瑰
13141_6	粉紅色玫瑰
13142_0	植物圖案
13142_1	白色條紋
13142_2	金色菱形
13142_3	大馬士革紅色
13142_4	大馬士革黑色
13142_5	藍色玫瑰
13142_6	粉紅色玫瑰
13143_0	無
13143_1	植物圖案
13143_2	白色條紋
13143_3	金色菱形
13143_4	大馬士革紅色
13143_5	大馬士革黑色
13143_6	藍色玫瑰
13143_7	粉紅色玫瑰
13151_0	福
13151_1	花
13151_2	祭
13151_3	家徽
13151_4	紅白條紋
13151_5	藍白條紋
13151_6	黃白條紋
13151_7	綠白條紋
13157_0	咖啡店菜單
13157_1	飲料菜單
13157_2	速食菜單
13157_3	洋食菜單
13157_4	冰淇淋菜單
13157_5	時刻表
13157_6	叫號
13157_7	證券資訊
13161_0	與正面相同
13161_1	屋內的觀眾
13161_2	屋外的觀眾
13161_3	藍色Logo
13161_4	橘色Logo
13161_5	白色Logo
13161_6	粉紅色Logo
13161_7	綠色Logo
13163_0	無
13163_1	介紹
13163_2	咖啡店菜單
13163_3	拉麵菜單
13163_4	便條紙
13201_0	無
13201_1	文字
13201_2	溫泉
13201_3	太陽
13201_4	鬱金香
13201_5	橘子
13201_6	Logo
13205_0	經典商品
13205_1	進口食品
13205_2	有機商品
13205_3	日本料理商品
13207_0	
13207_1	
13207_2	
13207_3	×
13207_4	飲料
13207_5	麥克風
13207_6	OPEN
13207_7	微笑
13209_0	主選單
13209_1	線上會議
13209_2	電子書籍
13209_3	隨選動畫
13209_4	圖表資料
13209_5	兒童應用程式
13209_6	繪圖工具
13209_7	電子漫畫
13214_0	無
13214_1	可燃垃圾
13214_2	不可燃垃圾
13214_3	瓶‧罐‧寶特瓶
13214_4	塑膠
13214_5	報紙雜誌
13214_6	其他垃圾
13220_0	福
13220_1	花
13220_2	祭
13220_3	家徽
13220_4	紅白條紋
13220_5	藍白條紋
13220_6	黃白條紋
13220_7	綠白條紋
13269_0	WANTED
13269_1	廣告
13288_0	無
13288_1	米色
13288_2	粉紅色
13288_3	黃色
13288_4	綠色
13288_5	藍色
13288_6	黑色
13294_0	藍色×白色
13294_1	紅色×白色
13294_2	黃色×白色
13294_3	粉紅色×白色
13294_4	淺藍色×白色
13294_5	藍色×黃色
13294_6	紅色×黃色
13294_7	綠色
13295_0	正確答案A
13295_1	正確答案B
13295_2	正確答案C
13295_3	正確答案D
13295_4	錯誤答案A
13295_5	錯誤答案B
13295_6	錯誤答案C
13295_7	錯誤答案D
13296_0	無
13296_1	白色
13296_2	紅色
13296_3	黃色
13296_4	綠色
13296_5	淺藍色
13296_6	灰色
13296_7	黑色
13299_0	無
13299_1	蘋果標籤
13299_2	橘子標籤
13299_3	白色標籤
13299_4	綠色標籤
13299_5	黑色標籤
13303_0	無
13303_1	白色標籤
13303_2	棕色標籤
13303_3	黑色標籤
13336_0	無
13336_1	藍色
13336_2	綠色
13336_3	白色
13336_4	灰色
13336_5	橘色
13337_0	園藝雜誌
13337_1	旅遊指南
13337_2	時尚雜誌
13337_3	運動雜誌
13337_4	漫畫雜誌
13337_5	兒童雜誌
13337_6	週刊
13339_0	白色
13339_1	淺藍色
13339_2	深綠色
13339_3	紅色
13339_4	淺綠色
13339_5	黃色
13339_6	粉紅色
13339_7	米色
13341_0	米色
13341_1	灰色
13341_2	海軍藍
13341_3	黃色
13341_4	綠色
13341_5	淺藍色
13341_6	粉紅色
13341_7	棕色
13345_0	綠色&紅色
13345_1	淺藍色
13345_2	淺棕色
13345_3	棕色
13345_4	藍色&黃色
13345_5	粉紅色
13345_6	黃色
13345_7	黑色
13347_0	無
13347_1	漢字Logo
13347_2	英文字Logo
13347_3	海豚
13356_0	無圖案棕色
13356_1	附標籤棕色
13356_2	白色
13356_3	黃色
13356_4	淺藍色
13356_5	黑色
13360_0	藍色
13360_1	淺棕色
13360_2	粉紅色
13360_3	淺藍色
13360_4	萊姆綠
13360_5	橘色
13360_6	紫色
13362_0	無
13362_1	古地圖
13363_0	波形資料
13363_1	X光
13363_2	紅外線熱影像
13363_3	系統選單
13363_4	錯誤
13365_0	無
13365_1	Logo
13365_2	鬱金香
13365_3	公車
13369_0	無
13369_1	白色Logo
13369_2	棕色Logo
13369_3	黑色Logo
13454_0	黑色
13454_1	白色
13454_2	紅色
13454_3	橘色
13454_4	藍色
13454_5	萊姆綠
13454_6	黃色
13454_7	棕色
13502_0	等高線資料
13502_1	大範圍地圖
13502_2	雷達
13502_3	設計圖
13502_4	程式
13504_0	等高線資料
13504_1	大範圍地圖
13504_2	雷達
13504_3	設計圖
13504_4	程式
13512_0	藍色
13512_1	黃色
13512_2	紅色×白色
13513_0	無
13513_1	魚兒
13513_2	錨
13513_3	魚
13513_4	帆立貝
13513_5	Logo
13515_0	無
13515_1	太陽
13515_2	Logo
13515_3	注意事項
13515_4	嚴禁煙火
13515_5	文字
13515_6	刻度
13521_0	桌面
13521_1	TPS
13521_2	FPS
13521_3	MMORPG
13521_4	養成遊戲
13521_5	節奏遊戲
13521_6	當日沖銷
13521_7	DAW
13522_0	簡約
13522_1	優雅
13522_2	洋裝
13522_3	運動風
13522_4	學院風
13522_5	啦啦隊
13522_6	正式
13522_7	休閒
13523_0	無
13523_1	陶俑
13523_2	訊息
13523_3	動物
13523_4	壽司
13582_0	無
13582_1	皇冠
13582_2	劍
13582_3	小鳥
13582_4	樹
13583_0	藍色
13583_1	紅色
13583_2	黃色
13583_3	綠色
13583_4	白色
13583_5	灰色
13583_6	黑色
13584_0	象牙色
13584_1	紅色
13584_2	煙燻藍
13584_3	黑色
13584_4	粉紅色
13584_5	淺綠色
13584_6	紫色
13586_0	藍色
13586_1	紅色
13586_2	綠色
13586_3	黃色
13586_4	紫色
13586_5	淺紫色
13586_6	棕色
13586_7	深棕色
13589_0	無
13589_1	黑色&紅色
13589_2	黑色&藍色
13589_3	樹Logo
13589_4	文字Logo
13589_5	海獅Logo
13590_0	無
13590_1	皇冠
13590_2	劍
13590_3	小鳥
13590_4	樹
13606_0	無
13606_1	魚兒
13606_2	錨
13606_3	魚
13606_4	帆立貝
13606_5	Logo
13615_0	無
13615_1	白色文字
13615_2	藍色文字
13615_3	樹
13615_4	花朵
13615_5	動物
13621_0	無
13621_1	白色文字
13621_2	山
13621_3	太陽
13621_4	皇冠
13621_5	花朵
13624_0	黃色
13624_1	白色
13624_2	黑色
13624_3	紅色×藍色
13630_0	象牙色
13630_1	藍色
13630_2	紅色
13630_3	綠色
13630_4	粉紅色
13630_5	淺藍色
13630_6	黑色
13630_7	鴨子圖案
13631_0	文字
13631_1	鈴錢袋
13631_2	蟲子
13631_3	魚兒
13631_4	陶俑
13632_0	紅色條紋
13632_1	藍色條紋
13632_2	綠色條紋
13632_3	爆米花圖案
13632_4	繽紛圖案
13632_5	植物圖案
13632_6	煙火圖案
13632_7	蝴蝶結圖案
13633_0	紅色
13633_1	藍色
13633_2	綠色
13633_3	紫色
13633_4	白色
13633_5	黑色
13633_6	金色
13634_0	無
13634_1	紅色貼紙
13634_2	藍色貼紙
13634_3	黃色貼紙
13636_0	白色解說板
13636_1	黑色解說板
13636_2	風景畫
13636_3	靜物畫
13636_4	人物畫
13636_5	版畫
13636_6	抽象畫
13636_7	兒童繪畫
13637_0	綠色
13637_1	黃色
13637_2	紅色
13637_3	藍色
13637_4	橘色
13637_5	黑色
13637_6	白色
13637_7	粉紅色
13638_0	綠色
13638_1	黃色
13638_2	紅色
13638_3	藍色
13638_4	橘色
13638_5	棕色
13638_6	白色
13638_7	粉紅色
13639_0	無圖案
13639_1	線條
13639_2	洞洞板
13639_3	橫條板子
13639_4	格子
13639_5	土牆
13639_6	水泥
13639_7	金色
13640_0	
13640_1	
13640_2	
13640_3	×
13640_4	飲料
13640_5	麥克風
13640_6	OPEN
13640_7	微笑
13647_0	無
13647_1	危險
13647_2	活動通知
13647_3	招募廣告
13647_4	人物PR
13647_5	懷舊
13647_6	垃圾回收日
13651_0	書
13651_1	山
13651_2	龍
13651_3	鶴
13651_4	櫻
13651_5	楓葉
13652_0	寶藏地圖
13652_1	航海圖
13652_2	世界地圖
13655_0	押花
13655_1	海的照片
13655_2	山的照片
13655_3	夕陽照片
13655_4	都會照片
13655_5	深褐色照片
13655_6	大合照
13655_7	運動照片
13656_0	白色
13656_1	黃色
13656_2	橘色
13656_3	紅色
13656_4	粉紅色
13656_5	紫色
13656_6	藍色
13656_7	綠色
13657_0	花草
13657_1	山
13657_2	鳥
13657_3	單色配色花紋
13657_4	彩色花紋
13657_5	深褐色花紋
13657_6	石榴
13657_7	大地
13680_0	銀色
13680_1	黑色
13680_2	淺棕色
13680_3	棕色
13681_0	紅色
13681_1	黃色
13681_2	綠色
13681_3	海軍藍
13681_4	橘色
13681_5	白色
13681_6	黑色
13681_7	三色
13683_0	紫色
13683_1	藍色
13683_2	粉紅色
13683_3	綠色
13683_4	橘色
13683_5	棕色
13683_6	白色
13683_7	黑色
13701_0	酒紅色
13701_1	綠色
13701_2	黃色
13701_3	淺藍色
13701_4	白色
13701_5	海軍藍
13701_6	黑色
13701_7	紫色
13709_0	無
13709_1	橘色
13709_2	黑色
13709_3	黃色
13709_4	藍色
13709_5	綠色
13727_0	無圖案白色
13727_1	淺棕色
13727_2	紅色
13727_3	綠色
13727_4	深棕色
13727_5	粉紅色
13727_6	黃色
13727_7	藍色
13730_0	白色
13730_1	淺灰色
13730_2	粉紅色
13730_3	淺藍色
13730_4	黃色圖案
13730_5	綠色圖案
13730_6	橘色圖案
13730_7	海軍藍圖案
13744_0	花朵
13744_1	文字設計
13744_2	樹木
13744_3	美式鬆餅
13744_4	懷舊
13744_5	通知
13744_6	照片
13744_7	鳥
13746_0	無圖案白色
13746_1	無圖案黑色
13746_2	無圖案綠色
13746_3	無圖案淺棕色
13746_4	植物土
13746_5	石灰
13746_6	豆子
13747_0	ON AIR
13747_1	OPEN
13747_2	CLOSED
13747_3	WELCOME
13747_4	VIP
13747_5	DANGER
13747_6	使用中
13747_7	作業中
13751_0	森林照片
13751_1	海的照片
13751_2	花的照片
13751_3	鐵路照片
13751_4	黑白照片
13756_0	無
13756_1	藍色Logo
13756_2	白色Logo
13756_3	橘子
13756_4	蘋果
13756_5	桃子
13756_6	梨子
13756_7	櫻桃
13764_0	白色
13764_1	黃色
13764_2	橘色
13764_3	紅色
13764_4	粉紅色
13764_5	紫色
13764_6	藍色
13764_7	綠色
13925_0	簡報資料
13925_1	視訊會議
13925_2	匯率走勢
13925_3	監控攝影機畫面
13925_4	天氣預報
13925_5	業務資訊
13925_6	運動轉播
13925_7	藍屏當機畫面
13926_0	預設
13926_1	↑
