00079_0	무지 화이트
13079_0	없음
13079_1	리틀 플라워
13079_2	버터플라이
13079_3	레인
13079_4	오렌지
13079_5	플라워
13079_6	도트
13079_7	리프
13081_0	없음
13081_1	레드 깅엄
13081_2	블루 깅엄
13081_3	그린 깅엄
13081_4	핑크 깅엄
13081_5	레몬 깅엄
13082_0	없음
13082_1	레드 깅엄
13082_2	블루 깅엄
13082_3	그린 깅엄
13082_4	핑크 깅엄
13082_5	레몬 깅엄
13108_0	투톤 도트
13108_1	쿨 지그재그
13108_2	베이지 체크
13108_3	퍼플 다이아몬드
13108_4	비타민 스트라이프
13108_5	파스텔 플라워
13108_6	블루 웨이브
13108_7	컬러풀 시트러스
13109_0	투톤 도트
13109_1	쿨 지그재그
13109_2	베이지 체크
13109_3	퍼플 다이아몬드
13109_4	비타민 스트라이프
13109_5	파스텔 플라워
13109_6	블루 웨이브
13109_7	컬러풀 시트러스
13110_0	무지 셔츠
13110_1	스트라이프 셔츠
13110_2	줄무늬 셔츠
13110_3	체크무늬 셔츠
13110_4	깅엄 체크 셔츠
13110_5	파스텔 컬러 셔츠
13110_6	스타 프린팅 셔츠
13110_7	도트 무늬 셔츠
13138_0	보태니컬
13138_1	화이트 스트라이프
13138_2	골드 다이아몬드
13138_3	다마스크 레드
13138_4	다마스크 블랙
13138_5	블루 로즈
13138_6	핑크 로즈
13139_0	보태니컬
13139_1	화이트 스트라이프
13139_2	골드 다이아몬드
13139_3	다마스크 레드
13139_4	다마스크 블랙
13139_5	블루 로즈
13139_6	핑크 로즈
13140_0	없음
13140_1	보태니컬
13140_2	화이트 스트라이프
13140_3	골드 다이아몬드
13140_4	다마스크 레드
13140_5	다마스크 블랙
13140_6	블루 로즈
13140_7	핑크 로즈
13141_0	보태니컬
13141_1	화이트 스트라이프
13141_2	골드 다이아몬드
13141_3	다마스크 레드
13141_4	다마스크 블랙
13141_5	블루 로즈
13141_6	핑크 로즈
13142_0	보태니컬
13142_1	화이트 스트라이프
13142_2	골드 다이아몬드
13142_3	다마스크 레드
13142_4	다마스크 블랙
13142_5	블루 로즈
13142_6	핑크 로즈
13143_0	없음
13143_1	보태니컬
13143_2	화이트 스트라이프
13143_3	골드 다이아몬드
13143_4	다마스크 레드
13143_5	다마스크 블랙
13143_6	블루 로즈
13143_7	핑크 로즈
13151_0	복
13151_1	화
13151_2	제
13151_3	가문 문양
13151_4	레드&화이트 스트라이프
13151_5	블루&화이트 스트라이프
13151_6	옐로&화이트 스트라이프
13151_7	그린&화이트 스트라이프
13157_0	카페 메뉴판
13157_1	드링크 메뉴판
13157_2	패스트푸드 메뉴판
13157_3	양식 메뉴판
13157_4	아이스크림 메뉴판
13157_5	시간표
13157_6	대기 번호
13157_7	주식 정보
13161_0	앞면과 동일
13161_1	실내 관중
13161_2	야외 관중
13161_3	블루 로고
13161_4	오렌지 로고
13161_5	화이트 로고
13161_6	핑크 로고
13161_7	그린 로고
13163_0	없음
13163_1	안내문
13163_2	카페 메뉴
13163_3	라면 메뉴
13163_4	접착 메모지
13201_0	없음
13201_1	글자
13201_2	온천
13201_3	태양
13201_4	튤립
13201_5	오렌지
13201_6	로고
13205_0	인기 상품
13205_1	수입 식품
13205_2	유기농 상품
13205_3	일본 식품
13207_0	
13207_1	
13207_2	
13207_3	×
13207_4	드링크
13207_5	마이크
13207_6	OPEN
13207_7	스마일
13209_0	홈 메뉴
13209_1	화상 회의
13209_2	전자책
13209_3	스트리밍 동영상
13209_4	그래프 데이터
13209_5	아동 앱
13209_6	일러스트 프로그램
13209_7	전자 만화책
13214_0	없음
13214_1	타는 쓰레기
13214_2	타지 않는 쓰레기
13214_3	유리병/캔/페트병
13214_4	플라스틱
13214_5	신문/잡지
13214_6	기타 쓰레기
13220_0	복
13220_1	화
13220_2	제
13220_3	가문 문양
13220_4	레드&화이트 스트라이프
13220_5	블루&화이트 스트라이프
13220_6	옐로&화이트 스트라이프
13220_7	그린&화이트 스트라이프
13269_0	WANTED
13269_1	광고
13288_0	없음
13288_1	베이지
13288_2	핑크
13288_3	옐로
13288_4	그린
13288_5	블루
13288_6	블랙
13294_0	블루×화이트
13294_1	레드×화이트
13294_2	옐로×화이트
13294_3	핑크×화이트
13294_4	라이트 블루×화이트
13294_5	블루×옐로
13294_6	레드×옐로
13294_7	그린
13295_0	정답 A
13295_1	정답 B
13295_2	정답 C
13295_3	정답 D
13295_4	오답 A
13295_5	오답 B
13295_6	오답 C
13295_7	오답 D
13296_0	없음
13296_1	화이트
13296_2	레드
13296_3	옐로
13296_4	그린
13296_5	라이트 블루
13296_6	그레이
13296_7	블랙
13299_0	없음
13299_1	사과 라벨
13299_2	오렌지 라벨
13299_3	화이트 라벨
13299_4	그린 라벨
13299_5	블랙 라벨
13303_0	없음
13303_1	화이트 라벨
13303_2	브라운 라벨
13303_3	블랙 라벨
13336_0	없음
13336_1	블루
13336_2	그린
13336_3	화이트
13336_4	그레이
13336_5	오렌지
13337_0	원예 잡지
13337_1	여행 가이드
13337_2	패션 잡지
13337_3	스포츠 잡지
13337_4	만화 잡지
13337_5	아동 잡지
13337_6	주간지
13339_0	화이트
13339_1	라이트 블루
13339_2	다크 그린
13339_3	레드
13339_4	라이트 그린
13339_5	옐로
13339_6	핑크
13339_7	베이지
13341_0	베이지
13341_1	그레이
13341_2	네이비
13341_3	옐로
13341_4	그린
13341_5	라이트 블루
13341_6	핑크
13341_7	브라운
13345_0	그린&레드
13345_1	라이트 블루
13345_2	라이트 브라운
13345_3	브라운
13345_4	블루&옐로
13345_5	핑크
13345_6	옐로
13345_7	블랙
13347_0	없음
13347_1	한자 로고
13347_2	영어 로고
13347_3	돌고래
13356_0	무지 브라운
13356_1	라벨&브라운
13356_2	화이트
13356_3	옐로
13356_4	라이트 블루
13356_5	블랙
13360_0	블루
13360_1	라이트 브라운
13360_2	핑크
13360_3	라이트 블루
13360_4	라임
13360_5	오렌지
13360_6	퍼플
13362_0	없음
13362_1	낡은 지도
13363_0	파형 데이터
13363_1	엑스레이
13363_2	서모그래피
13363_3	시스템 메뉴
13363_4	에러
13365_0	없음
13365_1	로고
13365_2	튤립
13365_3	버스
13369_0	없음
13369_1	화이트 로고
13369_2	브라운 로고
13369_3	블랙 로고
13454_0	블랙
13454_1	화이트
13454_2	레드
13454_3	오렌지
13454_4	블루
13454_5	라임
13454_6	옐로
13454_7	브라운
13502_0	등고선 데이터
13502_1	광역 지도
13502_2	레이더
13502_3	설계도
13502_4	프로그램
13504_0	등고선 데이터
13504_1	광역 지도
13504_2	레이더
13504_3	설계도
13504_4	프로그램
13512_0	블루
13512_1	옐로
13512_2	레드×화이트
13513_0	없음
13513_1	물고기
13513_2	닻
13513_3	한자
13513_4	가리비
13513_5	로고
13515_0	없음
13515_1	태양
13515_2	로고
13515_3	주의
13515_4	화기 엄금
13515_5	문자
13515_6	눈금
13521_0	데스크톱
13521_1	TPS
13521_2	FPS
13521_3	MMORPG
13521_4	육성 시뮬레이션
13521_5	리듬 게임
13521_6	주식 거래
13521_7	작곡 프로그램
13522_0	심플
13522_1	엘레강스
13522_2	드레스
13522_3	스포티
13522_4	스쿨
13522_5	치어리더
13522_6	포멀
13522_7	캐주얼
13523_0	없음
13523_1	토용
13523_2	메시지
13523_3	동물
13523_4	초밥
13582_0	없음
13582_1	왕관
13582_2	검
13582_3	새
13582_4	나무
13583_0	블루
13583_1	레드
13583_2	옐로
13583_3	그린
13583_4	화이트
13583_5	그레이
13583_6	블랙
13584_0	아이보리
13584_1	레드
13584_2	페일 블루
13584_3	블랙
13584_4	핑크
13584_5	라이트 그린
13584_6	퍼플
13586_0	블루
13586_1	레드
13586_2	그린
13586_3	옐로
13586_4	퍼플
13586_5	라이트 퍼플
13586_6	브라운
13586_7	다크 브라운
13589_0	없음
13589_1	블랙&레드
13589_2	블랙&블루
13589_3	나무 로고
13589_4	텍스트 로고
13589_5	물범 로고
13590_0	없음
13590_1	왕관
13590_2	검
13590_3	새
13590_4	나무
13606_0	없음
13606_1	물고기
13606_2	닻
13606_3	한자
13606_4	가리비
13606_5	로고
13615_0	없음
13615_1	화이트 텍스트
13615_2	블루 텍스트
13615_3	트리
13615_4	플라워
13615_5	애니멀
13621_0	없음
13621_1	화이트 텍스트
13621_2	마운틴
13621_3	선
13621_4	크라운
13621_5	플라워
13624_0	옐로
13624_1	화이트
13624_2	블랙
13624_3	레드×블루
13630_0	아이보리
13630_1	블루
13630_2	레드
13630_3	그린
13630_4	핑크
13630_5	라이트 블루
13630_6	블랙
13630_7	오리 무늬
13631_0	글자
13631_1	벨 주머니
13631_2	곤충
13631_3	물고기
13631_4	토용
13632_0	레드 스트라이프
13632_1	블루 스트라이프
13632_2	그린 스트라이프
13632_3	팝콘
13632_4	팝 컬러
13632_5	보태니컬
13632_6	불꽃놀이
13632_7	리본
13633_0	레드
13633_1	블루
13633_2	그린
13633_3	퍼플
13633_4	화이트
13633_5	블랙
13633_6	골드
13634_0	없음
13634_1	레드 스티커
13634_2	블루 스티커
13634_3	옐로 스티커
13636_0	흰색 해설 플레이트
13636_1	검은색 해설 플레이트
13636_2	풍경화
13636_3	정물화
13636_4	인물화
13636_5	판화
13636_6	추상화
13636_7	어린이 그림
13637_0	그린
13637_1	옐로
13637_2	레드
13637_3	블루
13637_4	오렌지
13637_5	블랙
13637_6	화이트
13637_7	핑크
13638_0	그린
13638_1	옐로
13638_2	레드
13638_3	블루
13638_4	오렌지
13638_5	브라운
13638_6	화이트
13638_7	핑크
13639_0	무지
13639_1	라인
13639_2	펀칭 보드
13639_3	가로 판자
13639_4	격자무늬
13639_5	토벽
13639_6	콘크리트
13639_7	골드
13640_0	
13640_1	
13640_2	
13640_3	×
13640_4	드링크
13640_5	마이크
13640_6	OPEN
13640_7	스마일
13647_0	없음
13647_1	위험
13647_2	이벤트 포스터
13647_3	모집 공고
13647_4	인물 PR
13647_5	빈티지
13647_6	쓰레기 수거일
13651_0	한자
13651_1	산
13651_2	용
13651_3	학
13651_4	벚꽃
13651_5	단풍
13652_0	보물 지도
13652_1	항해도
13652_2	세계 지도
13655_0	압화
13655_1	바다
13655_2	산
13655_3	노을
13655_4	도시
13655_5	세피아
13655_6	단체 사진
13655_7	스포츠
13656_0	화이트
13656_1	옐로
13656_2	오렌지
13656_3	레드
13656_4	핑크
13656_5	퍼플
13656_6	블루
13656_7	그린
13657_0	화초
13657_1	산
13657_2	새
13657_3	흑백 꽃무늬
13657_4	컬러풀 꽃무늬
13657_5	세피아 꽃무늬
13657_6	석류
13657_7	풍경
13680_0	실버
13680_1	블랙
13680_2	라이트 브라운
13680_3	브라운
13681_0	레드
13681_1	옐로
13681_2	그린
13681_3	네이비
13681_4	오렌지
13681_5	화이트
13681_6	블랙
13681_7	삼색기
13683_0	퍼플
13683_1	블루
13683_2	핑크
13683_3	그린
13683_4	오렌지
13683_5	브라운
13683_6	화이트
13683_7	블랙
13701_0	와인 레드
13701_1	그린
13701_2	옐로
13701_3	라이트 블루
13701_4	화이트
13701_5	네이비
13701_6	블랙
13701_7	퍼플
13709_0	없음
13709_1	오렌지
13709_2	블랙
13709_3	옐로
13709_4	블루
13709_5	그린
13727_0	무지 화이트
13727_1	라이트 브라운
13727_2	레드
13727_3	그린
13727_4	다크 브라운
13727_5	핑크
13727_6	옐로
13727_7	블루
13730_0	화이트
13730_1	라이트 그레이
13730_2	핑크
13730_3	라이트 블루
13730_4	옐로 패턴
13730_5	그린 패턴
13730_6	오렌지 패턴
13730_7	네이비 패턴
13744_0	꽃
13744_1	타이포그래피
13744_2	나무
13744_3	팬케이크
13744_4	빈티지
13744_5	공지
13744_6	사진
13744_7	새
13746_0	무지 화이트
13746_1	무지 블랙
13746_2	무지 그린
13746_3	무지 라이트 브라운
13746_4	식물 흙
13746_5	석회
13746_6	콩
13747_0	ON AIR
13747_1	OPEN
13747_2	CLOSED
13747_3	WELCOME
13747_4	VIP
13747_5	DANGER
13747_6	사용 중
13747_7	작업 중
13751_0	숲 사진
13751_1	바다 사진
13751_2	꽃 사진
13751_3	철도 사진
13751_4	흑백 사진
13756_0	없음
13756_1	블루 로고
13756_2	화이트 로고
13756_3	오렌지
13756_4	사과
13756_5	복숭아
13756_6	배
13756_7	체리
13764_0	화이트
13764_1	옐로
13764_2	오렌지
13764_3	레드
13764_4	핑크
13764_5	퍼플
13764_6	블루
13764_7	그린
13925_0	발표 자료
13925_1	화상 회의
13925_2	환율 차트
13925_3	감시 카메라 영상
