ant00	임돠
pig11	아앙
pig13	땡그랑
pig14	떼끼에로
pig15	냠냠
pig16	어우야
pig17	꿀꾸루
rbt00	그렇지뭐
rbt01	룰루랄라
rbt02	삐용
rbt03	닌닌
rbt04	쿨럭
rbt05	꺄오
rbt06	울랄라
rbt07	라던데
rbt08	땡글
rbt09	보통이지
rbt10	그렇잖아
rbt11	아으셔
rbt12	쇼봉
rbt13	샤방
rbt14	뿌우
rbt15	아미고
rbt16	진짜진짜
rbt17	어뜨케
rbt18	나도나도
rbt19	거봐라
rbt20	케로케로
rbt21	동글
rhn00	아뿔소
rhn01	훗
rhn02	빠직
rhn04	뿔뿔
rhn05	세봉
rhn07	베리베리
rhn08	킁킁
shp00	쩝
shp01	앤쥬
shp02	메에에
shp03	울
shp04	포근포근
shp07	됐거든
shp08	자기야
shp09	꺄르르
shp10	달려
shp11	포테토
shp12	수고
shp13	므흐흐
shp14	폭신폭신
shp15	뿜뿜
squ00	거얌
squ01	헤헤헤
squ02	예용
squ03	쯧쯧
squ04	송송
squ05	흠냐
squ06	휴
squ07	까꿍
squ08	콰광
squ09	우훗
squ10	사각사각
squ11	랄랄라
squ13	굿굿
squ14	퓨우
squ15	도톨도톨
squ16	땡글땡글
squ17	어차피
squ18	알아알아
squ21	빤짝
tig00	근데
tig01	내참
tig02	으르렁
tig03	쪼옥쪽
tig04	어흥
tig05	잇힝
tig06	그래호
wol00	그렇잖여
wol01	봐봐
wol02	거봐
wol03	멋져
wol04	음음
wol05	유행이야
wol06	콜록콜록
wol08	그러하다
wol09	후와와
wol10	오우예
wol12	아하핫
