ant00	さくらじま
rbt12	フランソワ
rbt13	クリスチーヌ
rbt14	プースケ
rbt15	サントス
rbt16	チョコ
rbt17	ミミィ
rbt18	アマミン
rbt19	ミラコ
rbt20	トビー
rbt21	ミッチェル
rhn00	くるぶし
rhn01	ユメコ
rhn02	スクワット
rhn04	みつお
rhn05	ペチュニア
rhn07	パティ
rhn08	おさい
shp00	メリヤス
shp01	トロワ
shp02	モヘア
shp03	アクリル
shp04	ラムール
shp07	マリー
shp08	カルロス
shp09	みぞれ
shp10	つかさ
shp11	ウェンディ
shp12	フリル
shp13	ジュペッティ
shp14	エトワール
shp15	ちゃちゃまる
squ00	ももこ
squ01	シルエット
squ02	リッキー
squ03	レベッカ
squ04	ガリガリ
squ05	２ごう
squ06	キャロライン
squ07	ララミー
squ08	スパーク
squ09	ミント
squ10	カジロウ
squ11	パセリ
squ13	ナターシャ
squ14	もんぺ
squ15	グミ
squ16	クリス
squ17	ジュン
squ18	アイリス
squ21	スピカ
tig00	チョモラン
tig01	ゴメス
tig02	ハリマオ
tig03	ルーズ
tig04	ヒョウタ
tig05	マリリン
tig06	コユキ
wol00	チーフ
wol01	ブンジロウ
wol02	ロボ
wol03	ビアンカ
wol04	けん
wol05	ツンドラ
wol06	シベリア
wol08	ヴァネッサ
wol09	リリィ
wol10	リカルド
wol12	モニカ
alp	カイゾー
alw	リサ
bev	うおまさ
bey	ジャスティン
boa	カブリバ
boc	ウリ
bpt	ハッケミィ
chm	カメヤマさん
chy	レックス
cml	ローラン
cmlB	ローラン
dga	おまわりさん
dgb	おまわりさん
doc	ロドリー
dod	モーリー
fox	つねきち
fsl	パロンチーノ
grf	グレース
gstA	ゆうたろう
gstB	ゆうたろう
gul	ジョニー
gulB	かいぞく
hgc	ことの
hgh	きぬよ
hgs	あさみ
kpg	ゲコ
kpm	クーコ
kpp	かっぺい
kps	クク
lom	まいこちゃん
man	ナッティー
mka	あやしいネコ
mnc	ニコ
mnk	えきいんさん
mob	ラケットさん
mol	リセットさん
otg	タクミ
otgB	タクミ
ott	ホンマさん
owl	フータ
ows	フーコ
pck	ベルリーナ
pge	マスター
pgeB	マスター
pkn	パンプキング
plk	ぺりこ
plm	ぺりみ
plo	ぺりお
poo	カットリーヌ
pooB	カットリーヌ
pyn	ぴょんたろう
rcm	まめきち
rco	たぬきち
rct	つぶきち
rei	ジングル
seo	ラコスケ
skk	シャンク
slo	レイジ
spn	パニエル
sza	しずえ
szo	ケント
tap	ゆめみ
tkkA	とたけけ
tkkB	DJ K.K
ttlA	コトブキ
ttlB	ドンどんぐり
tuk	フランクリン
upa	ししょー
wrl	セイイチ
xct	みしらぬネコ
