ant00	Cirano
goa08	Pashmina
goa09	Capraldo
gor00	Cesare
gor01	Kong
gor02	Babu
gor04	Lou
gor05	Brando
gor07	Konga
gor08	Gregorio
gor09	Kinga
gor10	Grigilio
gor11	Rilla
ham00	Amleto
ham01	Cicci
ham02	Evaristo
ham03	Rosikkio
ham04	Cettina
ham05	Carmelo
ham06	Meringa
ham07	Nerone
ham09	Goffredo
hip00	Rocco
hip02	Ippolita
hip03	Umberta
hip04	Pippo
hip05	Rosetta
hip08	Ercolino
hip09	Poppy
hrs00	Trottolo
hrs01	Vittoria
hrs02	Savannah
hrs03	Oreste
hrs04	Roscoe
hrs05	Clara
hrs06	Codino
hrs07	Susanna
hrs08	Ronzina
hrs09	Lisa
hrs10	Lallo
hrs11	Furio
hrs12	Pierino
hrs13	Giuliano
hrs16	Requina
kal00	Yuka
kal01	Alice
kal02	Melba
kal03	Sidney
kal04	Gonzo
kal05	Ozzy
kal07	Calipso
kal08	Canberra
kal09	Nicola
kal10	Corrado
kgr00	Kitt
kgr01	Matilda
kgr02	Taschina
kgr05	Stella
kgr06	Silvia
kgr08	Zompo
kgr09	Balzak
kgr10	Adelaide
lon00	Leo
lon01	Elvis
lon02	Rex
lon04	Leandro
lon06	Leopold
lon07	Ruggero
lon08	Leonida
mnk01	Nanà
mnk02	Simon
mnk03	Tammi
mnk04	Mimmo
mnk05	Elisa
mnk06	Benny
mnk07	Ninì
mnk08	Bobo
mnk09	Tiansheng
mus00	Serena
mus01	Rosico
mus02	Bella
mus03	Ginella
mus04	Sansone
mus05	Riccardo
mus08	Mella
mus09	Rizzo
mus10	Squitta
mus12	Franco
mus14	Aldo
mus15	Rattina
mus16	Greta
mus17	Penelope
mus18	Gruviero
mus19	Petronilla
ocp00	Ottavio
ocp01	Marina
ocp02	Poldo
ocp04	Polpobot
ost00	Regina
ost01	Marta
ost02	Alessia
ost03	Frankie
ost04	Rita
ost05	Giulia
ost06	Carmine
ost07	Enzo
ost08	Emilia
ost09	Rosalba
ost10	Fenicia
pbr00	Apollo
pbr01	Amelia
pbr02	Attilio
pbr03	Golia
pbr05	Falco
pbr06	Frank
pbr07	Beccodì
pbr08	Aquilio
pbr09	Celia
pbr10	Astro
pgn00	Aurora
pgn01	Angelino
pgn02	Cubetto
pgn03	Pinguaio
pgn04	Frida
pgn05	Gelinda
pgn06	Glacido
pgn07	Ottone
pgn09	Plinio
pgn10	Icaro
pgn11	Piccio
pgn12	Freddy
pgn13	Nives
pgn14	Brina
pig00	Ricciolo
pig01	Grufetta
pig02	Broncio
pig03	Jambon
pig04	Lucy
pig05	Cicciolo
pig08	Wurst
pig09	Boris
pig10	Marcella
pig11	Sally
pig13	Lisetta
pig14	Lino
pig15	Kotekiño
pig16	Cicciola
pig17	Maia
rbt00	Bonny
rbt01	Dotty
rbt02	Coco
rbt03	Razzo
rbt04	Gaston
rbt05	Gabri
rbt06	Pippi
rbt07	Stefania
rbt08	Genji
rbt09	Rubina
rbt10	Doc
rbt11	Claude
rbt12	Franca
rbt13	Natascha
rbt14	Azeglio
rbt15	Fritz
rbt16	Conny
rbt17	Lolly
rbt18	Lello
rbt19	Martina
rbt20	Toby
rbt21	Sasha
rhn00	Rinaldo
rhn01	Roby
rhn02	Bruto
rhn04	Rino
rhn05	Ortensia
rhn07	Irina
rhn08	Renata
shp00	Lanella
shp01	Bea
shp02	Tenerina
shp03	Merina
shp04	Cashmere
shp07	Belinda
shp08	Boccolo
shp09	Agnola
shp10	Ambra
shp11	Landa
shp12	Morena
shp13	Giulivo
shp14	Étoile
shp15	Ovilio
squ00	Rachele
squ01	Ghianda
squ02	Scriccio
squ03	Nocina
squ04	Rododea
squ05	Agente S
squ06	Carolina
squ07	Rossella
squ08	Protone
squ09	Mentulla
squ10	Sberlo
squ11	Rosa
squ13	Teresa
squ14	Silvana
squ15	Granella
squ16	Frugolo
squ17	Scott
squ18	Cigliola
squ21	Pervinca
tig00	Rolf
tig01	Ernesto
tig02	Ubaldo
tig03	Tigrizia
tig04	Bengalo
tig05	Lilla
tig06	Grattina
wol00	Artiglio
wol01	Lupen
wol02	Wolfgang
wol03	Bianca
wol04	Sigmund
wol05	Freya
wol06	Zanna
wol08	Viviana
wol09	Lupilla
wol10	Ululo
wol12	Lupilia
alp	Merino
alw	Alpaca
bev	Castore
bey	Castorino
boa	Nella
boc	Brunella
bpt	Vanda
chm	Gustavo
chy	Ivano
cml	Sahara
cmlB	Sahara
dga	Birro
dgb	Fido
doc	Dodoardo
dod	Dodobaldo
fox	Volpolo
fsl	Elio
grf	Griffa
gstA	Spirideo
gstB	Spirideo
gul	Gulliver
gulB	Gullivarrr
hgc	Beatrice
hgh	Agostina
hgs	Filomena
kpg	Remigia
kpm	Ramona
kpp	Remo
kps	Romina
lom	Micetta
man	Gedeone
mka	Blanca
mnc	Gilbertuccio
mnk	Ciufciuf
mob	Don
mol	Resetti
otg	Casimira
otgB	Casimira
ott	Frodolo
owl	Blatero
ows	Celeste
pck	Pavão
pge	Bartolo
pgeB	Bartolo
pkn	Fifonio
plk	Pelly
plm	Polly
plo	Tino
poo	Bigodina
pooB	Bigodina
pyn	Ovidio
rcm	Mirco
rco	Tom Nook
rct	Marco
rei	Jingle
seo	Pasqualo
skk	Sciuscià
slo	Florindo
spn	Fiorilio
sza	Fuffi
szo	Fofò
tap	Sonia
tkkA	K.K.
tkkB	DJ K.K.
ttlA	Tortimer
ttlB	Ghiandy
tuk	Cedrone
upa	Strizzo
wrl	Van Trik
xct	Girolamo
