ant00	Cyrano
squ07	Damia
squ08	Électro
squ09	Amande
squ10	Rocky
squ11	Célia
squ13	Nadeige
squ14	Mounia
squ15	Irène
squ16	Roy
squ17	Mathéo
squ18	Pamela
squ21	Terra
tig00	Ralf
tig01	Marito
tig02	Jeff
tig03	Bengale
tig04	Dolph
tig05	Vanina
tig06	Noémie
wol00	Chef
wol01	Lobo
wol02	Wolfgang
wol03	Blanche
wol04	Loupiot
wol05	Luppa
wol06	Pierrot
wol08	Viviane
wol09	Marilou
wol10	Gary
wol12	Monica
alp	Serge
alw	Risette
bev	Castor
bey	Pollux
boa	Porcella
boc	Porcelette
bpt	Astrid
chm	Djarod
chy	Djason
cml	Sarah
cmlB	Sarah
dga	Maret
dgb	Chausset
doc	Rodrigue
dod	Morris
fox	Rounard
fsl	Hélium
grf	Carla
gstA	Follet
gstB	Follet
gul	Gulliver
gulB	Gullivarrr
hgc	Tiquette
hgh	Layette
hgs	Cousette
kpg	Mamiral
kpm	Liliane
kpp	Amiral
kps	Lila
lom	Cathie
man	Mantin
mka	Blanca
mnc	Gratien
mnk	Lazare
mob	Don
mol	Resetti
otg	Lou
otgB	Lou
ott	Lionel
owl	Thibou
ows	Céleste
pck	Roberto
pge	Robusto
pgeB	Robusto
pkn	Jacqu'O
plk	Opélie
plm	Élisabec
plo	Antoine
poo	Ginette
pooB	Ginette
pyn	Albin
rcm	Méli
rco	Tom Nook
rct	Mélo
rei	Rodolphe
seo	Pascal
skk	Blaise
slo	Racine
spn	Joe
sza	Marie
szo	Max
tap	Serena
tkkA	Kéké
tkkB	DJ Kéké
ttlA	Tortimer
ttlB	Cornimer
tuk	Dindou
upa	Ciboulot
wrl	Morsicus
xct	Charly
