00079_0	Blanc uni
12679_0	Liste de noms
12679_1	Liste de tâches
12679_2	Formulaire médical
12693_0	Jaune
12693_1	Rouge
12693_2	Vert
12693_3	Bleu
12693_4	Noir
12699_0	Café
12699_1	Livres
12699_2	Repas
12699_3	Gâteau
12699_4	Karaoké
12699_5	Cuisine japonaise
12699_6	Boissons
12715_0	Paysage
12715_1	Personnes
12715_2	Illustration
12744_0	Blanche
12744_1	Bleu perlé
12744_2	Bleu marine
12744_3	Vichy orange
12744_4	Vichy vert
12744_5	Rouge bordeaux
12744_6	Damassée bleue
12744_7	Damassée brun
12745_0	Blanche
12745_1	Bleu perlé
12745_2	Bleu marine
12745_3	Vichy orange
12745_4	Vichy vert
12745_5	Rouge bordeaux
12745_6	Damassée bleue
12745_7	Damassée brun
12782_0	Ivoire
12782_1	Bleu marine
12782_2	Vert
12782_3	Rouge
12782_4	Ocre
12782_5	Jaune
12782_6	Rose
12782_7	Bleu clair
12879_0	« GRATUIT »
12879_1	« 50 % de réduction »
12879_2	« NOUVEAU »
12879_3	Doigt
12879_4	Nuage
12879_5	Rond
12879_6	Étoile
12879_7	Cœur
12880_0	Pâtes
12880_1	Cuisine chinoise
12880_2	Sushi
12880_3	Hamburger
12880_4	Boissons
12880_5	Pain
12880_6	Vêtements
12880_7	« GRATUIT »
12881_0	Bleu
12881_1	Rouge
12881_2	Jaune
12881_3	Noir
12881_4	Blanc
12882_0	Vert
12882_1	Blanc
12882_2	Rouge
12882_3	Jaune
12882_4	Bleu
12883_0	Vêtement décontracté
12883_1	Vêtements tons neutres
12883_2	Vêtement élégant
12883_3	Vêtements mignons
12883_4	Vêtements pour enfants
12886_0	Vêtements décontractés
12886_1	Vêtements nature
12886_2	Vêtements cool
12886_3	Vêtements mignons
12886_4	Vêtements pour enfants
12890_0	Sans
12890_1	Rayée rouge et blanc
12890_2	Jaune
12890_3	Bleu
12890_4	Vert
12892_0	Papier kraft
12892_1	Blanc
12892_2	Bleu
12892_3	Noir
12892_4	Rouge
12892_5	Vert
12892_6	Jaune
12892_7	Fleurs
12991_0	Brun
12991_1	Bleu
12991_2	Blanc
12991_3	Rose
12991_4	Jaune
12991_5	Vert
12991_6	Bleu clair
12991_7	Violet
12994_0	Brun
12994_1	Bleu
12994_2	Blanc
12994_3	Rose
12994_4	Jaune
12994_5	Vert
12994_6	Bleu clair
12994_7	Violet
12995_0	Brun
12995_1	Bleu
12995_2	Blanc
12995_3	Rose
12995_4	Jaune
12995_5	Vert
12995_6	Bleu clair
12995_7	Violet
12996_0	Brun
12996_1	Bleu
12996_2	Blanc
12996_3	Rose
12996_4	Jaune
12996_5	Vert
12996_6	Bleu clair
12996_7	Violet
12998_0	Sans
12998_1	Bleu
12998_2	Blanc
12998_3	Rose
12998_4	Jaune
12998_5	Vert
12998_6	Bleu clair
12998_7	Violet
12999_0	Sans
12999_1	Bleu
12999_2	Blanc
12999_3	Rose
12999_4	Jaune
12999_5	Vert
12999_6	Bleu clair
12999_7	Violet
13005_0	Rouge
13005_1	Bleu
13005_2	Orange
13005_3	Vert mousse
13005_4	Violet
13005_5	Blanc
13005_6	Gris
13005_7	Noir
13006_0	Noir
13006_1	Blanc
13006_2	Rouge
13006_3	Orange
13006_4	Bleu
13006_5	Citron vert
13006_6	Jaune
13006_7	Brun
13007_0	Noir
13007_1	Blanc
13007_2	Rouge
13007_3	Orange
13007_4	Bleu
13007_5	Citron vert
13007_6	Jaune
13007_7	Brun
13008_0	Noir
13008_1	Blanc
13008_2	Rouge
13008_3	Orange
13008_4	Bleu
13008_5	Citron vert
13008_6	Jaune
13008_7	Brun
13009_0	Noir
13009_1	Blanc
13009_2	Rouge
13009_3	Orange
13009_4	Bleu
13009_5	Citron vert
13009_6	Jaune
13009_7	Brun
13010_0	Noir
13010_1	Blanc
13010_2	Rouge
13010_3	Orange
13010_4	Bleu
13010_5	Citron vert
13010_6	Jaune
13010_7	Brun
13073_0	Petites fleurs
13073_1	Papillons
13073_2	Gouttes d'eau
13073_3	Orange
13073_4	Fleurs
13073_5	Pois
13073_6	Feuilles
13073_7	Triangles
13075_0	Petites fleurs
13075_1	Papillons
13075_2	Gouttes d'eau
13075_3	Orange
13075_4	Fleurs
13075_5	Pois
13075_6	Feuilles
13075_7	Triangles
13076_0	Sans
13076_1	Petites fleurs
13076_2	Papillons
13076_3	Gouttes d'eau
13076_4	Orange
13076_5	Fleurs
13076_6	Pois
13076_7	Feuilles
13077_0	Sans
13077_1	Petites fleurs
13077_2	Papillons
13077_3	Gouttes d'eau
13077_4	Orange
13077_5	Fleurs
13077_6	Pois
13077_7	Feuilles
13078_0	Sans
13078_1	Petites fleurs
13078_2	Papillons
13078_3	Gouttes d'eau
13078_4	Orange
13078_5	Fleurs
13078_6	Pois
13078_7	Feuilles
13079_0	Sans
13079_1	Petites fleurs
13079_2	Papillons
13079_3	Gouttes d'eau
13079_4	Orange
13079_5	Fleurs
13079_6	Pois
13079_7	Feuilles
13081_0	Sans
13081_1	Vichy rouge
13081_2	Vichy bleu
13081_3	Vichy vert
13081_4	Vichy rose
13081_5	Vichy jaune citron
13082_0	Sans
13082_1	Vichy rouge
13082_2	Vichy bleu
13082_3	Vichy vert
13082_4	Vichy rose
13082_5	Vichy jaune citron
13108_0	Pois bicolores
13108_1	Zigzags marins
13108_2	Carreaux beiges
13108_3	Diamants violets
13108_4	Rayures vives
13108_5	Fleurs pastel
13108_6	Vagues bleues
13108_7	Couleur agrumes
13109_0	Pois bicolores
13109_1	Zigzags marins
13109_2	Carreaux beiges
13109_3	Diamants violets
13109_4	Rayures vives
13109_5	Fleurs pastel
13109_6	Vagues bleues
13109_7	Couleur agrumes
13110_0	Chemises unies
13110_1	Chemises à rayures
13110_2	Chemises à bandes
13110_3	Chemises à carreaux
13110_4	Chemises vichy
13110_5	Chemises pastel
13110_6	Chemises à étoiles
13110_7	Chemises à pois
13138_0	Botanique
13138_1	Blanc à rayure
13138_2	Jacquard doré
13138_3	Damassé rouge
13138_4	Damassé noir
13138_5	Roses bleues
13138_6	Roses
13139_0	Botanique
13139_1	Blanc à rayure
13139_2	Jacquard doré
13139_3	Damassé rouge
13139_4	Damassé noir
13139_5	Roses bleues
13139_6	Roses
13140_0	Sans
13140_1	Botanique
13140_2	Blanc à rayure
13140_3	Jacquard doré
13140_4	Damassé rouge
13140_5	Damassé noir
13140_6	Roses bleues
13140_7	Roses
13141_0	Botanique
13141_1	Blanc à rayure
13141_2	Jacquard doré
13141_3	Damassé rouge
13141_4	Damassé noir
13141_5	Roses bleues
13141_6	Roses
13142_0	Botanique
13142_1	Blanc à rayure
13142_2	Jacquard doré
13142_3	Damassé rouge
13142_4	Damassé noir
13142_5	Roses bleues
13142_6	Roses
13143_0	Sans
13143_1	Botanique
13143_2	Blanc à rayure
13143_3	Jacquard doré
13143_4	Damassé rouge
13143_5	Damassé noir
13143_6	Roses bleues
13143_7	Roses
13151_0	Fuku (bonne fortune)
13151_1	Fleurs
13151_2	Matsuri (festival)
13151_3	Emblème
13151_4	Rayures rouges
13151_5	Rayures bleues
13151_6	Rayures jaunes
13151_7	Rayures vertes
13157_0	Menu de café
13157_1	Menu de boissons
13157_2	Menu de fast-food
13157_3	Menu de restaurant
13157_4	Menu de glaces
13157_5	Horaires
13157_6	Numéros d'appel
13157_7	Bourse
13161_0	Identique à l'avant
13161_1	Spectateurs à l'intérieur
13161_2	Spectateurs à l'extérieur
13161_3	Bleu avec logos
13161_4	Orange avec logos
13161_5	Blanc avec logos
13161_6	Rose avec logos
13161_7	Vert avec logos
13163_0	Sans
13163_1	Informations
13163_2	Menu de café
13163_3	Menu de ramen
13163_4	Mémos autocollants
13201_0	Sans motif
13201_1	Texte
13201_2	Sources chaudes
13201_3	Soleil
13201_4	Tulipe
13201_5	Orange
13201_6	Logo
13205_0	Produits classiques
13205_1	Nourriture importée
13205_2	Produits bio
13205_3	Nourriture japonaise
13207_0	
13207_1	
13207_2	
13207_3	×
13207_4	Boisson
13207_5	Micro
13207_6	« OUVERT »
13207_7	Sourire
13209_0	Menu de démarrage
13209_1	Réunion en ligne
13209_2	Livre électronique
13209_3	Vidéo à la demande
13209_4	Graphiques
13209_5	Appli pour enfants
13209_6	Logiciel de dessin
13209_7	Bédé électronique
13214_0	Sans
13214_1	Déchets inflammables
13214_2	Déchets ininflammables
13214_3	Bouteilles et conserves
13214_4	Plastique
13214_5	Journaux et magazines
13214_6	Déchets divers
13220_0	Fuku (bonne fortune)
13220_1	Fleurs
13220_2	Matsuri (festival)
13220_3	Emblème
13220_4	Rayures rouges
13220_5	Rayures bleues
13220_6	Rayures jaunes
13220_7	Rayures vertes
13269_0	Avis de recherche
13269_1	Publicité
13288_0	Sans
13288_1	Beige
13288_2	Rose
13288_3	Jaune
13288_4	Vert
13288_5	Bleu
13288_6	Noir
13294_0	Bleu et blanc
13294_1	Rouge et blanc
13294_2	Jaune et blanc
13294_3	Rose et blanc
13294_4	Bleu ciel et blanc
13294_5	Bleu et jaune
13294_6	Rouge et jaune
13294_7	Vert
13295_0	Bonne réponse A
13295_1	Bonne réponse B
13295_2	Bonne réponse C
13295_3	Bonne réponse D
13295_4	Mauvaise réponse A
13295_5	Mauvaise réponse B
13295_6	Mauvaise réponse C
13295_7	Mauvaise réponse D
13296_0	Sans
13296_1	Blanc
13296_2	Rouge
13296_3	Jaune
13296_4	Vert
13296_5	Bleu clair
13296_6	Gris
13296_7	Noir
13299_0	Sans
13299_1	Étiquettes de pomme
13299_2	Étiquettes d'orange
13299_3	Étiquettes blanches
13299_4	Étiquettes vertes
13299_5	Étiquettes noires
13303_0	Sans
13303_1	Étiquette blanche
13303_2	Étiquette brune
13303_3	Étiquette noire
13336_0	Sans
13336_1	Bleu
13336_2	Vert
13336_3	Blanc
13336_4	Gris
13336_5	Orange
13337_0	Jardinage
13337_1	Voyage
13337_2	Mode
13337_3	Sport
13337_4	People
13337_5	Enfants
13337_6	Actualité
13339_0	Blanc
13339_1	Bleu clair
13339_2	Vert foncé
13339_3	Rouge
13339_4	Vert clair
13339_5	Jaune
13339_6	Rose
13339_7	Beige
13341_0	Beige
13341_1	Gris
13341_2	Bleu marine
13341_3	Jaune
13341_4	Vert
13341_5	Bleu clair
13341_6	Rose
13341_7	Brun
13345_0	Vert et rouge
13345_1	Bleu clair
13345_2	Marron clair
13345_3	Brun
13345_4	Bleu et jaune
13345_5	Rose
13345_6	Jaune
13345_7	Noir
13347_0	Sans logo
13347_1	Logo kanji 
13347_2	Logo « Horizons »
13347_3	Logo dauphin
13356_0	Brun uni
13356_1	Brun avec étiquettes
13356_2	Blanc
13356_3	Jaune
13356_4	Bleu clair
13356_5	Noir
13360_0	Bleu
13360_1	Marron clair
13360_2	Rose
13360_3	Bleu clair
13360_4	Citron vert
13360_5	Orange
13360_6	Violet
13362_0	Aucun
13362_1	Vieille carte
13363_0	Ondes
13363_1	Radiologie
13363_2	Thermographie
13363_3	Menu système
13363_4	Erreur
13365_0	Simple
13365_1	Logo
13365_2	Tulipe
13365_3	Bus
13369_0	Sans
13369_1	Logo blanc
13369_2	Logo brun
13369_3	Logo noir
13454_0	Noir
13454_1	Blanc
13454_2	Rouge
13454_3	Orange
13454_4	Bleu
13454_5	Citron vert
13454_6	Jaune
13454_7	Brun
13502_0	Données topographiques
13502_1	Carte de la zone
13502_2	Radar
13502_3	Schémas
13502_4	Lignes de code
13504_0	Données topographiques
13504_1	Carte de la zone
13504_2	Radar
13504_3	Schémas
13504_4	Lignes de code
13512_0	Bleu
13512_1	Jaune
13512_2	Rouge et blanc
13513_0	Pas d'étiquette
13513_1	Étiquette poisson
13513_2	Étiquette ancre
13513_3	Étiquette sakana (poisson)
13513_4	Étiquette pétoncle
13513_5	Logo
13515_0	Sans
13515_1	Soleil
13515_2	Logo
13515_3	Avertissement
13515_4	Feu interdit
13515_5	Texte
13515_6	Échelle
13521_0	Écran d'ordinateur
13521_1	Jeu à la troisième personne
13521_2	Jeu à la première personne
13521_3	Jeu de rôle en ligne
13521_4	Jeu de simulation
13521_5	Jeu de rythme
13521_6	Cours de la bourse
13521_7	Station audionumérique
13522_0	Simple
13522_1	Élégante
13522_2	Robe
13522_3	Sportive
13522_4	Écolière
13522_5	Pom-pom girl
13522_6	Classique
13522_7	Détendue
13523_0	Sans
13523_1	Gyroïde
13523_2	Message
13523_3	Animal
13523_4	Sushi
13582_0	Aucun
13582_1	Couronne
13582_2	Épées
13582_3	Oiseau
13582_4	Arbre
13583_0	Bleu
13583_1	Rouge
13583_2	Jaune
13583_3	Vert
13583_4	Blanc
13583_5	Gris
13583_6	Noir
13584_0	Ivoire
13584_1	Rouge
13584_2	Bleu pâle
13584_3	Noir
13584_4	Rose
13584_5	Vert clair
13584_6	Violet
13586_0	Bleu
13586_1	Rouge
13586_2	Vert
13586_3	Jaune
13586_4	Violet
13586_5	Violet clair
13586_6	Brun
13586_7	Brun foncé
13589_0	Sans
13589_1	Noir et rouge
13589_2	Noir et bleu
13589_3	Logo d'arbre
13589_4	Logo texte
13589_5	Logo otarie
13590_0	Aucun
13590_1	Couronne
13590_2	Épées
13590_3	Oiseau
13590_4	Arbre
13606_0	Pas d'étiquette
13606_1	Étiquette poisson
13606_2	Étiquette ancre
13606_3	Étiquette sakana (poisson)
13606_4	Étiquette pétoncle
13606_5	Logo
13615_0	Sans
13615_1	Texte blanc
13615_2	Texte bleu
13615_3	Arbre
13615_4	Fleur
13615_5	Animal
13621_0	Sans
13621_1	Texte blanc
13621_2	Montagnes
13621_3	Soleil
13621_4	Couronne
13621_5	Fleur
13624_0	Jaune
13624_1	Blanc
13624_2	Noir
13624_3	Rouge et bleu
13630_0	Ivoire
13630_1	Bleu
13630_2	Rouge
13630_3	Vert
13630_4	Rose
13630_5	Bleu clair
13630_6	Noir
13630_7	Canards
13631_0	Texte
13631_1	Sac de clochettes
13631_2	Insecte
13631_3	Poisson
13631_4	Gyroïde
13632_0	Rayures rouges
13632_1	Rayures bleues
13632_2	Rayures vertes
13632_3	Pop-corn
13632_4	Couleurs vives
13632_5	Botanique
13632_6	Feux d'artifice
13632_7	Ruban
13633_0	Rouge
13633_1	Bleu
13633_2	Vert
13633_3	Violet
13633_4	Blanc
13633_5	Noir
13633_6	Or
13634_0	Sans
13634_1	Autocollants rouges
13634_2	Autocollants bleus
13634_3	Autocollants jaunes
13636_0	Cartel blanc
13636_1	Cartel noir
13636_2	Paysage
13636_3	Nature morte
13636_4	Portrait
13636_5	Estampe
13636_6	Peinture abstraite
13636_7	Dessin d'enfant
13637_0	Vert
13637_1	Jaune
13637_2	Rouge
13637_3	Bleu
13637_4	Orange
13637_5	Noir
13637_6	Blanc
13637_7	Rose
13638_0	Vert
13638_1	Jaune
13638_2	Rouge
13638_3	Bleu
13638_4	Orange
13638_5	Brun
13638_6	Blanc
13638_7	Rose
13639_0	Panneau standard
13639_1	Panneau renforcé
13639_2	Panneau perforé
13639_3	Lattes horizontales
13639_4	Treillis
13639_5	Terre crue
13639_6	Béton
13639_7	Or
13640_0	
13640_1	
13640_2	
13640_3	×
13640_4	Boisson
13640_5	Micro
13640_6	« OUVERT »
13640_7	Sourire
13647_0	Sans
13647_1	Danger
13647_2	Affiche d'événement
13647_3	Offre d'emploi
13647_4	Affiche relations publiques
13647_5	Rétro
13647_6	Collecte des déchets
13651_0	Calligraphie
13651_1	Montagne
13651_2	Dragon
13651_3	Grues
13651_4	Fleurs de cerisiers
13651_5	Feuilles d'érable
13652_0	Carte au trésor
13652_1	Carte de navigation
13652_2	Carte du monde
13655_0	Fleur séchée
13655_1	Océan
13655_2	Montagne
13655_3	Coucher de soleil
13655_4	Ville
13655_5	Photo ancienne
13655_6	Photo de groupe
13655_7	Sport
13656_0	Blanc
13656_1	Jaune
13656_2	Orange
13656_3	Rouge
13656_4	Rose
13656_5	Violet
13656_6	Bleu
13656_7	Vert
13657_0	Fleurs des champs
13657_1	Montagne
13657_2	Oiseau
